날짜,미세먼지,초미세먼지
2023-11-09,31,15
2023-11-10,17,7
2023-11-11,20,9
2023-11-12,19,8
2023-11-13,24,11
2023-11-14,27,13
2023-11-15,50,28
2023-11-16,46,31
2023-11-17,19,7
2023-11-18,24,11
2023-11-19,42,21
2023-11-20,33,15
2023-11-21,39,21
2023-11-22,40,23
2023-11-23,100,50
2023-11-24,17,7
2023-11-25,20,8
2023-11-26,26,13
2023-11-27,41,22
2023-11-28,31,16
2023-11-29,18,7
2023-11-30,20,7
2023-12-01,25,9
2023-12-02,33,16
2023-12-03,38,21
2023-12-04,36,22
2023-12-05,35,27
2023-12-06,54,46
2023-12-07,71,15
2023-12-08,96,23
2023-12-09,73,28
2023-12-10,78,26
2023-12-11,6,2
2023-12-12,11,3
2023-12-13,16,6
2023-12-14,9,4
2023-12-15,6,2
2023-12-16,27,8
2023-12-17,16,6
2023-12-18,14,5
2023-12-19,23,12
2023-12-20,48,24
2023-12-21,23,10
2023-12-22,25,9
2023-12-23,31,14
2023-12-24,27,24
2023-12-25,32,30
2023-12-26,46,28
2023-12-27,72,55
2023-12-28,46,37
2023-12-29,40,29
2023-12-30,31,28
2023-12-31,23,17
2024-01-01,22,20
2024-01-02,38,26
2024-01-03,40,28
2024-01-04,56,30
2024-01-05,77,40
2024-01-06,24,13
2024-01-07,26,16
2024-01-08,24,10
2024-01-09,30,23
2024-01-10,63,54
2024-01-11,56,53
2024-01-12,52,29
2024-01-13,28,9
2024-01-14,31,19
2024-01-15,24,6
2024-01-16,31,11
2024-01-17,27,22
2024-01-18,21,22
2024-01-19,16,8
2024-01-20,47,1
2024-01-21,18,4
2024-01-22,33,18
2024-01-23,24,9
2024-01-24,28,9
2024-01-25,24,9
2024-01-26,32,13
2024-01-27,42,31
2024-01-28,28,16
2024-01-29,39,29
2024-01-30,52,38
2024-01-31,49,41
2024-02-01,83,64
2024-02-02,40,34
2024-02-03,27,40
2024-02-04,22,20
2024-02-05,6,2
2024-02-06,16,10
2024-02-07,34,24
2024-02-08,38,29
2024-02-09,33,30
2024-02-10,46,33
2024-02-11,69,33
2024-02-12,64,42
2024-02-13,73,39
2024-02-14,50,23
2024-02-15,18,12
2024-02-16,29,11
2024-02-17,36,28
2024-02-18,25,24
2024-02-19,14,8
2024-02-20,38,14
2024-02-21,35,1
2024-02-22,46,2
2024-02-23,16,4
2024-02-24,34,6
2024-02-25,38,10
2024-02-26,33,19
2024-02-27,46,7
2024-02-28,69,15
2024-02-29,64,32
2024-03-01,73,9
2024-03-02,50,12
2024-03-03,18,59
2024-03-04,29,31
2024-03-05,36,21
2024-03-06,25,7
2024-03-07,29,16
2024-03-08,43,20
2024-03-09,35,15
2024-03-10,30,13
2024-03-11,29,14
2024-03-12,27,21
2024-03-13,46,22
2024-03-14,57,32
2024-03-15,39,26
2024-03-16,37,26
2024-03-17,104,17
2024-03-18,27,6
2024-03-19,51,24
2024-03-20,39,21
2024-03-21,35,17
2024-03-22,44,16
2024-03-23,62,23
2024-03-24,40,18
2024-03-25,25,9
2024-03-26,4,1
2024-03-27,24,15
2024-03-28,25,11
2024-03-29,277,43
2024-03-30,104,23
2024-03-31,50,10
