기준_날짜,미세먼지,초미세먼지,지점,지점명,평균기온(°C),일강수량(mm)
2023-08-28,14,9,108,서울,22.7,10.4
2023-08-29,13,7,108,서울,23.9,54.8
2023-08-30,18,9,108,서울,22.8,3.5
2023-08-31,20,11,108,서울,23.9,
2023-09-01,26,13,108,서울,24.5,
2023-09-02,31,18,108,서울,25.4,
2023-09-03,18,11,108,서울,25.8,0.1
2023-09-04,19,11,108,서울,27,0.3
2023-09-05,20,11,108,서울,28.5,0
2023-09-06,20,11,108,서울,27.9,
2023-09-07,18,9,108,서울,26.3,
2023-09-08,18,8,108,서울,25.3,
2023-09-09,34,18,108,서울,25.8,
2023-09-10,32,20,108,서울,25.7,
2023-09-11,27,16,108,서울,25.5,
2023-09-12,29,17,108,서울,25.7,
2023-09-13,23,15,108,서울,22.1,15.9
2023-09-14,8,2,108,서울,23.4,
2023-09-15,8,4,108,서울,22.3,2.1
2023-09-16,11,6,108,서울,23.9,38.7
2023-09-17,15,12,108,서울,24.7,3
2023-09-18,15,10,108,서울,24.7,
2023-09-19,26,17,108,서울,24.1,
2023-09-20,25,18,108,서울,20.6,35.8
2023-09-21,16,6,108,서울,20.1,0
2023-09-22,21,8,108,서울,20.5,
2023-09-23,20,9,108,서울,21.8,
2023-09-24,12,4,108,서울,21.8,
2023-09-25,14,4,108,서울,21.6,1.9
2023-09-26,6,2,108,서울,19.9,27.8
2023-09-27,11,4,108,서울,21.5,4.4
2023-09-28,48,30,108,서울,22.7,
2023-09-29,35,16,108,서울,21.1,
2023-09-30,29,11,108,서울,19.7,4.5
2023-10-01,25,7,108,서울,18.4,
2023-10-02,18,7,108,서울,18.2,
2023-10-03,22,10,108,서울,17.5,
2023-10-04,24,12,108,서울,17.3,14.7
2023-10-05,34,4,108,서울,14.2,
2023-10-06,26,9,108,서울,15.5,
2023-10-07,22,10,108,서울,16.8,
2023-10-08,12,5,108,서울,17.1,0
2023-10-09,12,5,108,서울,17.4,1.2
2023-10-10,28,14,108,서울,17.1,
2023-10-11,27,13,108,서울,17.6,
2023-10-12,30,16,108,서울,17.5,
2023-10-13,34,19,108,서울,17.5,
2023-10-14,25,16,108,서울,14.7,5.8
2023-10-15,25,14,108,서울,16.1,
2023-10-16,45,15,108,서울,14.7,
2023-10-17,34,11,108,서울,13.8,
2023-10-18,34,15,108,서울,15.7,
2023-10-19,30,16,108,서울,17,8.2
2023-10-20,20,5,108,서울,11.6,
2023-10-21,19,5,108,서울,10.4,1.1
2023-10-22,25,8,108,서울,12.5,
2023-10-23,30,13,108,서울,15.2,
2023-10-24,33,19,108,서울,15.6,
2023-10-25,36,20,108,서울,16.6,
2023-10-26,54,35,108,서울,17.2,0
2023-10-27,35,14,108,서울,15.7,
2023-10-28,38,16,108,서울,14.2,
2023-10-29,32,15,108,서울,14.9,
2023-10-30,42,21,108,서울,15.1,
2023-10-31,43,23,108,서울,16.5,
2023-11-01,42,19,108,서울,19,0
2023-11-02,35,14,108,서울,20.8,
2023-11-03,32,12,108,서울,19.5,8.5
2023-11-04,58,16,108,서울,17.4,
2023-11-05,14,8,108,서울,17.3,10.4
2023-11-06,23,6,108,서울,13.3,45.8
2023-11-07,21,6,108,서울,5.8,0
2023-11-08,26,11,108,서울,8.4,
2023-11-09,31,15,108,서울,11.4,5.1
2023-11-10,17,7,108,서울,3.4,
2023-11-11,20,9,108,서울,1.7,
2023-11-12,19,8,108,서울,1.2,
2023-11-13,24,11,108,서울,2,
2023-11-14,27,13,108,서울,5,
2023-11-15,50,28,108,서울,7,
2023-11-16,46,31,108,서울,6.6,8.4
2023-11-17,19,7,108,서울,1.6,0
2023-11-18,24,11,108,서울,0.6,
2023-11-19,42,21,108,서울,5.9,
2023-11-20,33,15,108,서울,6.2,
2023-11-21,39,21,108,서울,7.4,
2023-11-22,40,23,108,서울,9.5,
2023-11-23,100,50,108,서울,9.9,0.1
2023-11-24,17,7,108,서울,-1.5,
2023-11-25,20,8,108,서울,-1.3,
2023-11-26,26,13,108,서울,4,0
2023-11-27,41,22,108,서울,6.2,3.6
2023-11-28,31,16,108,서울,1.3,0
2023-11-29,18,7,108,서울,-1.4,0
2023-11-30,20,7,108,서울,-4.3,
2023-12-01,25,9,108,서울,-3.2,
2023-12-02,33,16,108,서울,2,0
2023-12-03,38,21,108,서울,0.8,
2023-12-04,36,22,108,서울,2.7,
2023-12-05,35,27,108,서울,6.8,
2023-12-06,54,46,108,서울,6.1,3.8
2023-12-07,71,15,108,서울,6.6,
2023-12-08,96,23,108,서울,11.2,
2023-12-09,73,28,108,서울,13.7,
2023-12-10,78,26,108,서울,11.4,0
2023-12-11,6,2,108,서울,8.9,11.4
2023-12-12,11,3,108,서울,5.4,0.4
2023-12-13,16,6,108,서울,6.8,
2023-12-14,9,4,108,서울,7.6,17
2023-12-15,6,2,108,서울,4.9,31.1
2023-12-16,27,8,108,서울,-4.1,1.5
2023-12-17,16,6,108,서울,-9.8,
2023-12-18,14,5,108,서울,-7.7,
2023-12-19,23,12,108,서울,-3.7,0.3
2023-12-20,48,24,108,서울,-7.4,0.8
2023-12-21,23,10,108,서울,-11.7,
2023-12-22,25,9,108,서울,-11.6,
2023-12-23,31,14,108,서울,-6.8,
2023-12-24,27,24,108,서울,-2.2,1.1
2023-12-25,32,30,108,서울,-0.7,0.7
2023-12-26,46,28,108,서울,1.9,
2023-12-27,72,55,108,서울,1.5,
2023-12-28,46,37,108,서울,1.2,
2023-12-29,40,29,108,서울,1.3,
2023-12-30,31,28,108,서울,0.6,13.1
2023-12-31,23,17,108,서울,2.1,4.7
2024-01-01,22,20,108,서울,3.3,0
2024-01-02,38,26,108,서울,2.9,0
2024-01-03,40,28,108,서울,1.8,0.6
2024-01-04,56,30,108,서울,1.4,
2024-01-05,77,40,108,서울,5,0
2024-01-06,24,13,108,서울,0.7,2.4
2024-01-07,26,16,108,서울,-4.4,
2024-01-08,24,10,108,서울,-4.7,
2024-01-09,30,23,108,서울,-0.6,1.6
2024-01-10,63,54,108,서울,-1,
2024-01-11,56,53,108,서울,1.7,
2024-01-12,52,29,108,서울,0.9,
2024-01-13,28,9,108,서울,0.4,
2024-01-14,31,19,108,서울,-0.6,3.1
2024-01-15,24,6,108,서울,-3.7,
2024-01-16,31,11,108,서울,-2.1,
2024-01-17,27,22,108,서울,0.6,9.7
2024-01-18,21,22,108,서울,4.5,0.5
2024-01-19,16,8,108,서울,5.4,
2024-01-20,47,1,108,서울,3.4,0.4
2024-01-21,18,4,108,서울,1.7,0.4
2024-01-22,33,18,108,서울,-8.7,0.2
2024-01-23,24,9,108,서울,-11.7,
2024-01-24,28,9,108,서울,-8,
2024-01-25,24,9,108,서울,-5.3,
2024-01-26,32,13,108,서울,-1.7,
2024-01-27,42,31,108,서울,-0.5,
2024-01-28,28,16,108,서울,-1.5,
