기준_날짜,미세먼지,초미세먼지,평균기온(°C),일강수량(mm),전체_건수
2023-07-13,25,15,25.2,91.6,5287
2023-07-14,25,11,24.6,72.7,3852
2023-07-15,28,14,24.5,2.3,0
2023-07-16,34,14,24.6,9.7,0
2023-07-17,25,12,25.5,1.4,18410
2023-07-18,18,9,25.2,2.3,16243
2023-07-19,31,18,27.2,,19858
2023-07-20,53,36,27.9,,19807
2023-07-21,58,43,29.5,,18788
2023-07-22,30,22,27.7,12.3,0
2023-07-23,9,5,25.2,40.2,0
2023-07-24,20,13,26.9,0.4,18813
2023-07-25,15,9,27.8,5.6,19078
2023-07-26,13,5,27.6,1,18006
2023-07-27,22,14,28.4,0,18607
2023-07-28,31,23,29.5,,17952
2023-07-29,27,20,29.1,,0
2023-07-30,14,9,28.8,25,0
2023-07-31,31,23,28.7,0.3,16806
2023-08-01,34,25,29.9,,18009
2023-08-02,35,25,29.7,,17978
2023-08-03,26,17,29.5,,17952
2023-08-04,23,14,30,,17226
2023-08-05,22,13,30.3,,0
2023-08-06,26,17,29.8,4.9,0
2023-08-07,13,7,30.4,,17474
2023-08-08,9,3,30.9,,18086
2023-08-09,9,3,28.3,0.2,19084
2023-08-10,6,1,22.2,86.1,1395
2023-08-11,18,9,23.5,46.7,5212
2023-08-12,20,11,23.3,1.5,0
2023-08-13,31,19,27,,0
2023-08-14,44,28,28.1,,16722
2023-08-15,30,19,28.6,,12686
2023-08-16,21,12,27.3,0.3,19551
2023-08-17,28,18,28.2,,19836
2023-08-18,38,28,29.1,0.1,19812
2023-08-19,24,16,29.1,,0
2023-08-20,28,17,28.3,0,0
2023-08-21,27,16,29.5,0,19027
2023-08-22,23,14,27.6,42.6,12898
2023-08-23,10,5,24.8,41.8,7958
2023-08-24,6,3,25.1,5.2,16103
2023-08-25,19,10,26.5,0,20131
2023-08-26,37,23,26.4,,0
2023-08-27,30,20,26.1,0,0
2023-08-28,14,9,22.7,10.4,6233
2023-08-29,13,7,23.9,54.8,7528
2023-08-30,18,9,22.8,3.5,16586
2023-08-31,20,11,23.9,,21053
2023-09-01,26,13,24.5,,21119
2023-09-02,31,18,25.4,,0
2023-09-03,18,11,25.8,0.1,0
2023-09-04,19,11,27,0.3,19112
2023-09-05,20,11,28.5,0,20278
2023-09-06,20,11,27.9,,20638
2023-09-07,18,9,26.3,,13172
2023-09-08,18,8,25.3,,21454
2023-09-09,34,18,25.8,,0
2023-09-10,32,20,25.7,,0
2023-09-11,27,16,25.5,,21356
2023-09-12,29,17,25.7,,21733
2023-09-13,23,15,22.1,15.9,7108
2023-09-14,8,2,23.4,,20459
2023-09-15,8,4,22.3,2.1,14277
2023-09-16,11,6,23.9,38.7,0
2023-09-17,15,12,24.7,3,0
2023-09-18,15,10,24.7,,21444
2023-09-19,26,17,24.1,,22367
2023-09-20,25,18,20.6,35.8,4612
2023-09-21,16,6,20.1,0,21843
2023-09-22,21,8,20.5,,22845
2023-09-23,20,9,21.8,,0
2023-09-24,12,4,21.8,,0
2023-09-25,14,4,21.6,1.9,17459
2023-09-26,6,2,19.9,27.8,3338
2023-09-27,11,4,21.5,4.4,14304
2023-09-28,48,30,22.7,,10595
2023-09-29,35,16,21.1,,8319
2023-09-30,29,11,19.7,4.5,0
2023-10-01,25,7,18.4,,0
2023-10-02,18,7,18.2,,14565
2023-10-03,22,10,17.5,,14713
2023-10-04,24,12,17.3,14.7,14957
2023-10-05,34,4,14.2,,20059
2023-10-06,26,9,15.5,,22042
2023-10-07,22,10,16.8,,0
2023-10-08,12,5,17.1,0,0
2023-10-09,12,5,17.4,1.2,13363
2023-10-10,28,14,17.1,,20983
2023-10-11,27,13,17.6,,23175
2023-10-12,30,16,17.5,,21973
2023-10-13,34,19,17.5,,22486
2023-10-14,25,16,14.7,5.8,0
2023-10-15,25,14,16.1,,0
2023-10-16,45,15,14.7,,20958
2023-10-17,34,11,13.8,,21435
2023-10-18,34,15,15.7,,21679
2023-10-19,30,16,17,8.2,14403
2023-10-20,20,5,11.6,,19565
2023-10-21,19,5,10.4,1.1,0
2023-10-22,25,8,12.5,,0
2023-10-23,30,13,15.2,,20479
2023-10-24,33,19,15.6,,21407
2023-10-25,36,20,16.6,,21856
2023-10-26,54,35,17.2,0,19820
2023-10-27,35,14,15.7,,21286
2023-10-28,38,16,14.2,,0
2023-10-29,32,15,14.9,,0
2023-10-30,42,21,15.1,,20988
2023-10-31,43,23,16.5,,21598
2023-11-01,42,19,19,0,21281
2023-11-02,35,14,20.8,,22307
2023-11-03,32,12,19.5,8.5,17658
2023-11-04,58,16,17.4,,0
2023-11-05,14,8,17.3,10.4,0
2023-11-06,23,6,13.3,45.8,6968
2023-11-07,21,6,5.8,0,16084
2023-11-08,26,11,8.4,,18131
2023-11-09,31,15,11.4,5.1,14463
2023-11-10,17,7,3.4,,14671
2023-11-11,20,9,1.7,,0
2023-11-12,19,8,1.2,,0
2023-11-13,24,11,2,,14002
2023-11-14,27,13,5,,15844
2023-11-15,50,28,7,,17315
2023-11-16,46,31,6.6,8.4,7093
2023-11-17,19,7,1.6,0,12409
2023-11-18,24,11,0.6,,0
2023-11-19,42,21,5.9,,0
2023-11-20,33,15,6.2,,15364
2023-11-21,39,21,7.4,,16806
2023-11-22,40,23,9.5,,17343
2023-11-23,100,50,9.9,0.1,15804
2023-11-24,17,7,-1.5,,12545
2023-11-25,20,8,-1.3,,0
2023-11-26,26,13,4,0,0
2023-11-27,41,22,6.2,3.6,10040
2023-11-28,31,16,1.3,0,13548
2023-11-29,18,7,-1.4,0,12809
2023-11-30,20,7,-4.3,,11309
2023-12-01,25,9,-3.2,,11564
2023-12-02,33,16,2,0,0
2023-12-03,38,21,0.8,,0
2023-12-04,36,22,2.7,,13445
2023-12-05,35,27,6.8,,15073
2023-12-06,54,46,6.1,3.8,11220
2023-12-07,71,15,6.6,,14473
2023-12-08,96,23,11.2,,15666
2023-12-09,73,28,13.7,,0
2023-12-10,78,26,11.4,0,0
2023-12-11,6,2,8.9,11.4,2259
2023-12-12,11,3,5.4,0.4,13294
2023-12-13,16,6,6.8,,14640
2023-12-14,9,4,7.6,17,4068
2023-12-15,6,2,4.9,31.1,3446
2023-12-16,27,8,-4.1,1.5,0
2023-12-17,16,6,-9.8,,0
2023-12-18,14,5,-7.7,,8242
2023-12-19,23,12,-3.7,0.3,8681
2023-12-20,48,24,-7.4,0.8,5903
2023-12-21,23,10,-11.7,,6384
2023-12-22,25,9,-11.6,,6472
2023-12-23,31,14,-6.8,,0
2023-12-24,27,24,-2.2,1.1,0
2023-12-25,32,30,-0.7,0.7,2979
2023-12-26,46,28,1.9,,9127
2023-12-27,72,55,1.5,,9838
2023-12-28,46,37,1.2,,9950
2023-12-29,40,29,1.3,,9982
2023-12-30,31,28,0.6,13.1,0
2023-12-31,23,17,2.1,4.7,0
2024-01-01,22,20,3.3,0,0
2024-01-02,38,26,2.9,0,0
2024-01-03,40,28,1.8,0.6,9783
2024-01-04,56,30,1.4,,11483
2024-01-05,77,40,5,0,11784
2024-01-06,24,13,0.7,2.4,0
2024-01-07,26,16,-4.4,,0
2024-01-08,24,10,-4.7,,8074
2024-01-09,30,23,-0.6,1.6,5568
2024-01-10,63,54,-1,,9214
2024-01-11,56,53,1.7,,10392
2024-01-12,52,29,0.9,,10535
2024-01-13,28,9,0.4,,0
2024-01-14,31,19,-0.6,3.1,0
2024-01-15,24,6,-3.7,,9221
2024-01-16,31,11,-2.1,,10142
2024-01-17,27,22,0.6,9.7,4922
2024-01-18,21,22,4.5,0.5,9282
2024-01-19,16,8,5.4,,10963
2024-01-20,47,1,3.4,0.4,0
2024-01-21,18,4,1.7,0.4,0
2024-01-22,33,18,-8.7,0.2,6947
2024-01-23,24,9,-11.7,,6035
2024-01-24,28,9,-8,,6914
2024-01-25,24,9,-5.3,,8256
2024-01-26,32,13,-1.7,,9532
2024-01-27,42,31,-0.5,,0
2024-01-28,28,16,-1.5,,0
2024-01-29,39,29,-0.4,,10017
2024-01-30,52,38,1.4,,10821
2024-01-31,49,41,4.7,,11399
2024-02-01,83,64,2.4,,11208
2024-02-02,40,34,3.1,,11584
2024-02-03,27,40,4.7,0,0
2024-02-04,22,20,7.3,,0
2024-02-05,6,2,2.7,3.9,0
2024-02-06,16,10,1.2,0.2,0
2024-02-07,34,24,0.6,0,10511
2024-02-08,38,29,0.6,,10466
2024-02-09,33,30,1.1,,4467
2024-02-10,46,33,1.7,,0
2024-02-11,69,33,1,0,0
2024-02-12,64,42,3.5,,6288
2024-02-13,73,39,8.2,,12034
2024-02-14,50,23,12.9,,13956
2024-02-15,18,12,4.5,10.9,6956
2024-02-16,29,11,2.3,,11808
2024-02-17,36,28,4.4,,0
2024-02-18,25,24,6.2,17.1,0
2024-02-19,14,8,9.1,8.9,0
2024-02-20,38,14,4.3,2.6,0
2024-02-21,35,1,1.9,17.8,1349
2024-02-22,46,2,0.2,8.8,4066
2024-02-23,16,4,1.8,0.4,9546
2024-02-24,34,6,2,2.3,0
2024-02-25,38,10,2.8,1.8,0
2024-02-26,33,19,3.8,,11391
2024-02-27,46,7,5.3,,12109
2024-02-28,69,15,6.4,,12566
2024-02-29,64,32,4.8,,11800
2024-03-01,73,9,-4.1,,4686
2024-03-02,50,12,-0.5,0,0
2024-03-03,18,59,4,,0
2024-03-04,29,31,5.4,,12239
2024-03-05,36,21,8,,12741
2024-03-06,25,7,6.2,,13313
2024-03-07,29,16,3.9,2.1,12027
2024-03-08,43,20,2.1,,11803
2024-03-09,35,15,2,,0
2024-03-10,30,13,4.2,,0
2024-03-11,29,14,6.2,,13364
2024-03-12,27,21,6.6,2.1,10571
2024-03-13,46,22,6.5,,13864
2024-03-14,57,32,8.5,,13845
2024-03-15,39,26,8.9,,14412
2024-03-16,37,26,10.9,,0
2024-03-17,104,17,8.8,0.1,0
2024-03-18,27,6,7.1,,13694
2024-03-19,51,24,6.7,0.2,12197
2024-03-20,39,21,4.4,,13001
2024-03-21,35,17,5,,13515
2024-03-22,44,16,10.4,5.4,9823
2024-03-23,62,23,13,0.1,0
2024-03-24,40,18,16.2,,0
2024-03-25,25,9,10.6,5.1,6757
2024-03-26,4,1,7.4,11.5,9299
2024-03-27,24,15,10.4,,15206
2024-03-28,25,11,10.3,1.9,9280
2024-03-29,277,43,7.6,1.4,10772
2024-03-30,104,23,8.8,,0
2024-03-31,50,10,10.6,,0
