지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2023-11-25,19
108,서울,2023-11-26,25
108,서울,2023-11-27,37
108,서울,2023-11-28,29
108,서울,2023-11-29,18
108,서울,2023-11-30,19
108,서울,2023-12-01,25
108,서울,2023-12-02,33
108,서울,2023-12-03,38
108,서울,2023-12-04,36
108,서울,2023-12-05,35
108,서울,2023-12-06,54
108,서울,2023-12-07,71
108,서울,2023-12-08,96
108,서울,2023-12-09,73
108,서울,2023-12-10,78
108,서울,2023-12-13,14
108,서울,2023-12-16,27
108,서울,2023-12-17,16
108,서울,2023-12-18,14
108,서울,2023-12-19,23
108,서울,2023-12-20,48
108,서울,2023-12-21,23
108,서울,2023-12-22,25
108,서울,2023-12-23,31
108,서울,2023-12-24,27
108,서울,2023-12-25,32
108,서울,2023-12-26,46
108,서울,2023-12-27,72
108,서울,2023-12-28,46
108,서울,2023-12-29,40
108,서울,2023-12-30,31
108,서울,2023-12-31,23
108,서울,2024-01-01,22
108,서울,2024-01-02,38
108,서울,2024-01-03,40
108,서울,2024-01-04,56
108,서울,2024-01-05,77
108,서울,2024-01-06,24
108,서울,2024-01-07,26
108,서울,2024-01-08,24
108,서울,2024-01-09,30
108,서울,2024-01-10,63
108,서울,2024-01-11,56
108,서울,2024-01-12,52
108,서울,2024-01-13,28
108,서울,2024-01-14,31
108,서울,2024-01-15,24
108,서울,2024-01-16,31
108,서울,2024-01-17,27
108,서울,2024-01-18,21
108,서울,2024-01-19,16
108,서울,2024-01-21,18
108,서울,2024-01-22,33
108,서울,2024-01-23,24
108,서울,2024-01-24,28
108,서울,2024-01-25,24
108,서울,2024-01-26,32
108,서울,2024-01-27,42
108,서울,2024-01-28,28
108,서울,2024-01-29,39
108,서울,2024-01-30,52
108,서울,2024-01-31,49
108,서울,2024-02-01,83
108,서울,2024-02-02,40
108,서울,2024-02-03,27
108,서울,2024-02-04,22
108,서울,2024-02-06,16
108,서울,2024-02-07,34
108,서울,2024-02-08,38
108,서울,2024-02-09,33
108,서울,2024-02-10,46
108,서울,2024-02-11,69
108,서울,2024-02-12,64
108,서울,2024-02-13,73
108,서울,2024-02-14,50
108,서울,2024-02-15,18
108,서울,2024-02-16,29
108,서울,2024-02-17,36
108,서울,2024-02-18,25
108,서울,2024-02-19,14
108,서울,2024-02-20,38
108,서울,2024-02-23,11
108,서울,2024-02-24,14
108,서울,2024-02-25,16
108,서울,2024-02-26,32
108,서울,2024-02-27,19
108,서울,2024-02-28,34
108,서울,2024-02-29,52
108,서울,2024-03-01,41
108,서울,2024-03-02,43
108,서울,2024-03-03,116
108,서울,2024-03-04,67
108,서울,2024-03-05,43
108,서울,2024-03-06,14
108,서울,2024-03-07,29
108,서울,2024-03-08,43
108,서울,2024-03-09,35
108,서울,2024-03-10,30
108,서울,2024-03-11,29
108,서울,2024-03-12,27
108,서울,2024-03-13,46
108,서울,2024-03-14,57
108,서울,2024-03-15,39
108,서울,2024-03-16,37
108,서울,2024-03-17,104
108,서울,2024-03-18,27
108,서울,2024-03-19,51
108,서울,2024-03-20,39
108,서울,2024-03-21,35
108,서울,2024-03-22,44
108,서울,2024-03-23,62
108,서울,2024-03-24,40
108,서울,2024-03-28,25
108,서울,2024-03-29,277
108,서울,2024-03-30,104
108,서울,2024-03-31,50
