기준_날짜,전체_건수,요일,주말,휴일
2024-01-22,6947,0,0,0
2024-01-23,6035,1,0,0
2024-01-24,6914,2,0,0
2024-01-25,8256,3,0,0
2024-01-26,9532,4,0,0
2024-01-29,10017,0,0,0
2024-01-30,10821,1,0,0
2024-01-31,11399,2,0,0
2024-02-01,11208,3,0,0
2024-02-02,11584,4,0,0
2024-02-07,10511,2,0,0
2024-02-08,10466,3,0,0
2024-02-13,12034,1,0,0
2024-02-14,13956,2,0,0
2024-02-15,6956,3,0,0
2024-02-16,11808,4,0,0
2024-02-21,1349,2,0,0
2024-02-22,4066,3,0,0
2024-02-23,9546,4,0,0
2024-02-26,11391,0,0,0
2024-02-27,12109,1,0,0
2024-02-28,12566,2,0,0
2024-02-29,11800,3,0,0
2024-03-04,12239,0,0,0
2024-03-05,12741,1,0,0
2024-03-06,13313,2,0,0
2024-03-07,12027,3,0,0
2024-03-08,11803,4,0,0
2024-03-11,13364,0,0,0
2024-03-12,10571,1,0,0
2024-03-13,13864,2,0,0
2024-03-14,13845,3,0,0
2024-03-15,14412,4,0,0
2024-03-18,13694,0,0,0
2024-03-19,12197,1,0,0
2024-03-20,13001,2,0,0
2024-03-21,13515,3,0,0
2024-03-22,9823,4,0,0
2024-03-25,6757,0,0,0
2024-03-26,9299,1,0,0
2024-03-27,15206,2,0,0
2024-03-28,9280,3,0,0
2024-03-29,10772,4,0,0
