"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20230711","","0000","ST-1098","","ST-1098","","1","0","0"
"20230711","","0000","ST-2318","","ST-2318","","1","0","0"
"20230711","","0000","ST-2733","","ST-2733","","1","0","0"
"20230711","","0000","ST-724","","ST-724","","1","0","0"
"20230711","","0005","ST-1045","","ST-1045","","1","0","0"
"20230711","","0005","ST-1065","","ST-1065","","1","0","0"
"20230711","","0005","ST-2086","","ST-2086","","1","1","10"
"20230711","","0005","ST-2268","","ST-2268","","1","1","0"
"20230711","","0005","ST-2481","","ST-2481","","1","0","0"
"20230711","","0005","ST-288","","ST-288","","1","0","0"
"20230711","","0005","ST-3042","","ST-3042","","2","0","0"
"20230711","","0005","ST-338","","ST-338","","1","0","0"
"20230711","","0005","ST-479","","ST-479","","1","0","0"
"20230711","","0005","ST-503","","ST-503","","3","0","0"
"20230711","","0005","ST-566","","ST-566","","1","0","0"
"20230711","","0010","ST-1222","","ST-1222","","1","0","0"
"20230711","","0010","ST-172","","ST-172","","1","0","0"
"20230711","","0010","ST-2046","","ST-2046","","1","1","0"
"20230711","","0010","ST-2314","","ST-2314","","1","0","0"
"20230711","","0010","ST-2601","","ST-2601","","1","0","60"
"20230711","","0010","ST-2692","","ST-2692","","1","0","760"
"20230711","","0010","ST-500","","ST-500","","1","0","0"
"20230711","","0010","ST-777","","ST-777","","1","0","0"
"20230711","","0010","ST-913","","ST-913","","1","0","0"
"20230711","","0015","ST-1512","","ST-1512","","1","0","0"
"20230711","","0015","ST-1812","","ST-1812","","1","1","10"
"20230711","","0015","ST-2508","","ST-2508","","1","0","0"
"20230711","","0015","ST-262","","ST-262","","1","0","0"
"20230711","","0015","ST-759","","ST-759","","1","0","0"
"20230711","","0015","ST-876","","ST-876","","1","0","0"
"20230711","","0020","ST-1102","","ST-1102","","1","1","0"
"20230711","","0020","ST-1447","","ST-1447","","1","0","0"
"20230711","","0020","ST-1497","","ST-1497","","1","0","0"
"20230711","","0020","ST-1638","","ST-1638","","1","0","0"
"20230711","","0020","ST-2223","","ST-2223","","1","1","0"
"20230711","","0020","ST-261","","ST-261","","1","0","0"
"20230711","","0025","ST-1003","","ST-1003","","1","0","10"
"20230711","","0025","ST-1357","","ST-1357","","1","0","0"
"20230711","","0025","ST-1778","","ST-1778","","1","0","0"
"20230711","","0025","ST-2223","","ST-2223","","1","0","0"
