"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20230505","출발시간","0000","ST-1185","수서동_025_2","ST-1185","수서동_025_2","1","0","0"
"20230505","출발시간","0000","ST-1259","신림동_019_1","ST-1259","신림동_019_1","1","0","0"
"20230505","출발시간","0000","ST-1730","송파1동_039_1","ST-1730","송파1동_039_1","1","0","0"
"20230505","출발시간","0000","ST-2309","구의1동_026_1","ST-2309","구의1동_026_1","1","0","0"
"20230505","출발시간","0000","ST-2357","상도2동_001_1","ST-2357","상도2동_001_1","1","0","0"
"20230505","출발시간","0000","ST-262","장안2동_053_1","ST-262","장안2동_053_1","1","0","0"
"20230505","출발시간","0000","ST-2760","신정2동_006_1","ST-2760","신정2동_006_1","1","0","0"
"20230505","출발시간","0000","ST-2924","한강로동_013_2","ST-2924","한강로동_013_2","1","1","0"
"20230505","출발시간","0000","ST-524","화곡1동_007_1","ST-524","화곡1동_007_1","1","0","0"
"20230505","출발시간","0000","ST-824","방화1동_038_1","ST-824","방화1동_038_1","1","1","20"
"20230505","출발시간","0000","ST-918","구로4동_006_2","ST-918","구로4동_006_2","1","0","0"
"20230505","출발시간","0005","ST-1474","공릉1동_063_1","ST-1474","공릉1동_063_1","1","0","0"
"20230505","출발시간","0005","ST-1663","자양1동_044_1","ST-1663","자양1동_044_1","1","0","0"
"20230505","출발시간","0005","ST-2508","용신동_051_1","ST-2508","용신동_051_1","1","0","0"
"20230505","출발시간","0005","ST-2896","공릉1동_068_1","ST-2896","공릉1동_068_1","1","0","0"
"20230505","출발시간","0010","ST-11","서강동_046_1","ST-11","서강동_046_1","1","0","0"
"20230505","출발시간","0010","ST-1660","자양3동_025_1","ST-1660","자양3동_025_1","1","0","0"
"20230505","출발시간","0010","ST-2308","화양동_041_2","ST-2308","화양동_041_2","1","0","0"
"20230505","출발시간","0010","ST-2716","상계6·7동_070_1","ST-2716","상계6·7동_070_1","1","0","60"
"20230505","출발시간","0010","ST-2887","화곡2동_021_1","ST-2887","화곡2동_021_1","1","0","0"
"20230505","출발시간","0010","ST-3136","성수2가3동_002_2","ST-3136","성수2가3동_002_2","1","1","20"
"20230505","출발시간","0010","ST-525","우장산동_065_1","ST-525","우장산동_065_1","1","0","0"
"20230505","출발시간","0010","ST-750","반포3동_001_2","ST-750","반포3동_001_2","1","0","0"
"20230505","출발시간","0010","ST-980","자양2동_041_2","ST-980","자양2동_041_2","1","0","0"
"20230505","출발시간","0015","ST-1474","공릉1동_063_1","ST-1474","공릉1동_063_1","1","0","0"
"20230505","출발시간","0015","ST-2045","가양1동_039_16","ST-2045","가양1동_039_16","1","0","0"
"20230505","출발시간","0015","ST-2815","영등포동_024_2","ST-2815","영등포동_024_2","1","1","60"
"20230505","출발시간","0015","ST-73","여의동_009_1","ST-73","여의동_009_1","1","0","0"
"20230505","출발시간","0015","ST-912","면목본동_021_1","ST-912","면목본동_021_1","1","0","0"
"20230505","출발시간","0020","ST-1268","보라매동_002_1","ST-1268","보라매동_002_1","1","1","0"
