"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20230528","출발시간","0000","ST-2486","공항동_006_2","ST-2486","공항동_006_2","1","0","142"
"20230528","출발시간","0005","ST-1223","구로5동_002_1","ST-1223","구로5동_002_1","1","1","0"
"20230528","출발시간","0005","ST-1390","수유2동_030_1","ST-1390","수유2동_030_1","1","0","0"
"20230528","출발시간","0005","ST-935","방배4동_002_1","ST-935","방배4동_002_1","2","0","0"
"20230528","출발시간","0015","ST-1420","성내3동_030_1","ST-1420","성내3동_030_1","1","0","0"
"20230528","출발시간","0015","ST-2996","신사동_020_1","ST-2996","신사동_020_1","1","1","130"
"20230528","출발시간","0020","ST-2016","목1동_044_1","ST-2016","목1동_044_1","1","0","0"
"20230528","출발시간","0025","ST-2062","상계1동_005_1","ST-2062","상계1동_005_1","1","1","0"
"20230528","출발시간","0025","ST-359","행당1동_001_1","ST-359","행당1동_001_1","1","0","0"
"20230528","출발시간","0025","ST-691","상도1동_049_1","ST-691","상도1동_049_1","1","0","0"
"20230528","출발시간","0025","ST-966","역삼2동_023_1","ST-966","역삼2동_023_1","1","0","0"
"20230528","출발시간","0030","ST-506","성수2가3동_021_2","ST-506","성수2가3동_021_2","1","0","0"
"20230528","출발시간","0035","ST-754","방배2동_048_1","ST-754","방배2동_048_1","1","0","0"
"20230528","출발시간","0040","ST-2353","대방동_015_2","ST-2353","대방동_015_2","1","1","0"
"20230528","출발시간","0045","ST-2134","인수동_021_1","ST-2134","인수동_021_1","1","0","0"
"20230528","출발시간","0045","ST-278","양평2동_039_1","ST-278","양평2동_039_1","1","1","0"
"20230528","출발시간","0105","ST-1466","쌍문4동_013_1","ST-1466","쌍문4동_013_1","1","0","0"
"20230528","출발시간","0115","ST-462","신사2동_025_1","ST-462","신사2동_025_1","1","1","0"
"20230528","출발시간","0115","ST-827","안암동_030_1","ST-827","안암동_030_1","1","1","0"
"20230528","출발시간","0135","ST-1546","조원동_004_1","ST-1546","조원동_004_1","1","0","0"
"20230528","출발시간","0150","ST-1866","석촌동_002_1","ST-1866","석촌동_002_1","1","0","0"
"20230528","출발시간","0150","ST-2888","우장산동_020_1","ST-2888","우장산동_020_1","1","0","0"
"20230528","출발시간","0155","ST-1653","영등포동_001_1","ST-1653","영등포동_001_1","1","0","0"
"20230528","출발시간","0205","ST-2572","위례동_003_1","ST-2572","위례동_003_1","1","0","0"
"20230528","출발시간","0210","ST-2343","행당1동_003_1","ST-2343","행당1동_003_1","1","0","0"
"20230528","출발시간","0215","ST-1493","홍은2동_003_1","ST-1493","홍은2동_003_1","1","0","0"
"20230528","출발시간","0225","ST-102","자양1동_003_1","ST-102","자양1동_003_1","1","0","0"
"20230528","출발시간","0225","ST-2464","구로5동_002_2","ST-2464","구로5동_002_2","1","0","0"
"20230528","출발시간","0230","ST-2223","석관동_001_1","ST-2223","석관동_001_1","1","0","0"
"20230528","출발시간","0230","ST-784","삼성1동_004_1","ST-784","삼성1동_004_1","1","0","0"
"20230528","출발시간","0235","ST-395","장안2동_022_2","ST-395","장안2동_022_2","1","0","0"
"20230528","출발시간","0240","ST-2167","서교동_023_1","ST-2167","서교동_023_1","1","0","0"
"20230528","출발시간","0240","ST-2907","세곡동_032_1","ST-2907","세곡동_032_1","1","0","0"
"20230528","출발시간","0245","ST-455","응암1동_032_1","ST-455","응암1동_032_1","1","0","0"
"20230528","출발시간","0310","ST-2560","휘경2동_034_1","ST-2560","휘경2동_034_1","1","0","0"
"20230528","출발시간","0310","ST-8","합정동_028_1","ST-8","합정동_028_1","1","0","0"
"20230528","출발시간","0335","ST-413","당산1동_002_1","ST-413","당산1동_002_1","1","0","0"
"20230528","출발시간","0340","ST-1227","개봉1동_050_1","ST-1227","개봉1동_050_1","1","0","0"
"20230528","출발시간","0345","ST-198","신당동_002_1","ST-198","신당동_002_1","2","0","0"
"20230528","출발시간","0350","ST-1690","자양4동_005_2","ST-1690","자양4동_005_2","1","0","0"
"20230528","출발시간","0410","ST-1298","장안1동_065_1","ST-1298","장안1동_065_1","1","0","0"
"20230528","출발시간","0435","ST-3056","이태원1동_004_2","ST-3056","이태원1동_004_2","1","0","0"
"20230528","출발시간","0440","ST-2748","성내2동_026_1","ST-2748","성내2동_026_1","1","0","0"
"20230528","출발시간","0445","ST-2748","성내2동_026_1","ST-2748","성내2동_026_1","1","0","0"
"20230528","출발시간","0450","ST-4","서교동_017_1","ST-4","서교동_017_1","1","0","0"
"20230528","출발시간","0505","ST-1293","방학3동_002_1","ST-1293","방학3동_002_1","1","0","0"
"20230528","출발시간","0505","ST-2472","종로1·2·3·4가동_008_5","ST-2472","종로1·2·3·4가동_008_5","2","1","60"
"20230528","출발시간","0520","ST-1047","성내1동_023_1","ST-1047","성내1동_023_1","1","0","0"
"20230528","출발시간","0525","ST-2008","신정3동_066_2","ST-2008","신정3동_066_2","1","0","0"
"20230528","출발시간","0545","ST-1804","삼청동_001_3","ST-1804","삼청동_001_3","1","0","0"
"20230528","출발시간","0550","ST-160","종로5·6가동_001_1","ST-160","종로5·6가동_001_1","1","0","0"
"20230528","출발시간","0555","ST-2342","용답동_004_1","ST-2342","용답동_004_1","1","0","0"
"20230528","출발시간","0615","ST-2204","연희동_010_1","ST-2204","연희동_010_1","1","0","10"
"20230528","출발시간","0620","ST-2803","대방동_015_3","ST-2803","대방동_015_3","1","1","90"
"20230528","출발시간","0625","ST-2419","발산1동_066_1","ST-2419","발산1동_066_1","1","0","0"
"20230528","출발시간","0715","ST-1288","월계2동_048_1","ST-1288","월계2동_048_1","1","0","0"
"20230528","출발시간","0745","ST-2285","중화2동_012_1","ST-2285","중화2동_012_1","1","0","0"
"20230528","출발시간","0745","ST-2594","잠실4동_001_1","ST-2594","잠실4동_001_1","1","0","0"
"20230528","출발시간","0745","ST-473","불광1동_072_2","ST-473","불광1동_072_2","1","0","0"
"20230528","출발시간","0745","ST-89","성산2동_041_5","ST-89","성산2동_041_5","1","0","0"
"20230528","출발시간","0750","ST-158","이화동_006_1","ST-158","이화동_006_1","1","0","0"
"20230528","출발시간","0750","ST-465","응암1동_008_1","ST-465","응암1동_008_1","1","0","0"
"20230528","출발시간","0805","ST-259","구의2동_033_1","ST-259","구의2동_033_1","1","0","0"
"20230528","출발시간","0810","ST-2237","장위1동_005_1","ST-2237","장위1동_005_1","1","0","0"
"20230528","출발시간","0810","ST-2548","광장동_001_1","ST-2548","광장동_001_1","1","0","0"
"20230528","출발시간","0825","ST-3094","등촌1동_003_2","ST-3094","등촌1동_003_2","1","0","0"
"20230528","출발시간","0840","ST-1649","영등포동_012_1","ST-1649","영등포동_012_1","1","0","0"
"20230528","출발시간","0905","ST-2888","우장산동_020_1","ST-2888","우장산동_020_1","1","0","0"
"20230528","출발시간","0925","ST-1097","면목2동_028_1","ST-1097","면목2동_028_1","1","0","0"
"20230528","출발시간","0925","ST-1198","왕십리도선동_028_2","ST-1198","왕십리도선동_028_2","1","0","0"
"20230528","출발시간","0930","ST-2742","둔촌2동_002_2","ST-2742","둔촌2동_002_2","1","1","0"
"20230528","출발시간","0935","ST-1282","중계1동_059_1","ST-1282","중계1동_059_1","1","0","0"
