"기준_날짜","집계_기준","기준_시간","시작_대여소","시작_대여소명","종료_대여소","종료_대여소명","전체건수","전체_이용_분","전체_이용_거리"
"20231211","도착시간","0000","ST-3084","가양2동_019_1","ST-518","가양2동_007_1","1","3","416"
"20231211","도착시간","0000","ST-3117","신대방2동_029_1","ST-3105","신대방2동_011_1","1","2","615"
"20231211","출발시간","0000","ST-15","서강동_025_1","ST-20","서교동_029_1","1","5","1025"
"20231211","출발시간","0000","ST-2760","신정2동_006_1","ST-2016","목1동_044_1","1","3","654"
"20231211","출발시간","0000","ST-1251","가양1동_037_1","ST-528","등촌2동_002_1","1","21","3003"
"20231211","출발시간","0000","ST-1045","성내2동_007_1","ST-1422","풍납2동_035_1","2","20","4130"
"20231211","출발시간","0000","ST-1111","공릉1동_067_1","ST-578","석관동_001_2","1","5","1000"
"20231211","출발시간","0000","ST-2435","오류2동_044_2","ST-2435","오류2동_044_2","1","38","2760"
"20231211","출발시간","0000","ST-1181","대치2동_063_1","ST-1574","일원2동_003_1","1","6","1230"
"20231211","출발시간","0000","ST-566","중화2동_038_2","ST-847","묵1동_040_1","1","13","2060"
"20231211","출발시간","0000","ST-796","청담동_003_1","ST-387","광장동_048_1","1","60","7979"
"20231211","출발시간","0000","ST-420","영등포동_027_1","ST-1150","노량진1동_041_1","1","21","3840"
"20231211","출발시간","0000","ST-369","왕십리도선동_018_1","ST-251","마장동_028_2","1","4","1100"
"20231211","출발시간","0000","ST-2096","창5동_013_1","ST-2107","창5동_026_1","1","4","587"
"20231211","출발시간","0000","ST-117","사직동_008_1","ST-119","사직동_007_1","1","4","720"
"20231211","출발시간","0000","ST-3163","목1동_040_2","ST-2007","신정2동_021_2","1","3","800"
"20231211","출발시간","0000","ST-11","서강동_046_1","ST-11","서강동_046_1","1","4","19"
"20231211","출발시간","0000","ST-2486","공항동_006_2","ST-831","방화3동_005_1","1","11","1741"
"20231211","출발시간","0000","ST-1335","면목2동_039_1","ST-2560","휘경2동_034_1","1","11","1760"
"20231211","출발시간","0000","ST-2557","화곡6동_022_1","ST-2481","화곡본동_007_1","1","6","1150"
"20231211","출발시간","0000","ST-292","양평1동_001_3","ST-1965","구로2동_004_1","1","23","4420"
"20231211","출발시간","0000","ST-914","상계5동_036_1","ST-3092","창2동_009_3","1","22","4230"
"20231211","출발시간","0000","ST-1714","가양1동_040_2","ST-2037","가양1동_043_1","3","9","1463"
"20231211","출발시간","0000","ST-965","낙성대동_007_2","ST-2379","서원동_010_1","1","9","1897"
"20231211","출발시간","0000","ST-376","마장동_032_1","ST-1171","신사동_029_1","1","49","5997"
"20231211","도착시간","0000","ST-2771","신월6동_004_1","ST-319","신월7동_002_1","1","3","310"
"20231211","출발시간","0000","ST-1548","은천동_065_1","ST-723","은천동_068_1","1","6","902"
"20231211","출발시간","0000","ST-813","역삼1동_055_2","ST-810","역삼1동_053_2","1","62","14179"
"20231211","출발시간","0000","ST-2786","회현동_003_2","ST-441","효창동_003_1","1","12","2060"
"20231211","출발시간","0000","ST-2905","망원1동_041_1","ST-455","응암1동_032_1","2","57","11680"
"20231211","출발시간","0000","ST-3084","가양2동_019_1","ST-518","가양2동_007_1","1","3","416"
"20231211","출발시간","0000","ST-2748","성내2동_026_1","ST-1874","오륜동_041_1","1","16","3113"
"20231211","출발시간","0000","ST-1997","목1동_015_1","ST-431","목4동_048_1","1","4","1210"
"20231211","출발시간","0000","ST-1203","월곡1동_022_1","ST-2270","휘경2동_009_1","1","19","287"
"20231211","출발시간","0000","ST-247","응봉동_017_1","ST-248","행당2동_001_1","1","5","695"
"20231211","출발시간","0000","ST-2972","문정2동_029_3","ST-2972","문정2동_029_3","2","0","0"
"20231211","출발시간","0000","ST-1787","신당동_004_2","ST-178","창신3동_003_1","1","8","1334"
"20231211","출발시간","0000","ST-1017","목5동_059_1","ST-2773","목5동_063_1","1","1","910"
"20231211","출발시간","0000","ST-2490","가양1동_002_3","ST-1251","가양1동_037_1","1","7","846"
"20231211","출발시간","0000","ST-1059","강일동_023_1","ST-1421","암사3동_004_1","1","19","4210"
"20231211","출발시간","0000","ST-736","중계1동_037_1","ST-1118","중계2·3동_080_1","1","25","1683"
"20231211","출발시간","0000","ST-3060","공릉2동_024_1","ST-1346","묵1동_046_1","1","14","2474"
"20231211","출발시간","0000","ST-1081","송파1동_038_1","ST-1859","석촌동_003_1","1","16","1300"
"20231211","출발시간","0000","ST-602","공릉1동_067_2","ST-602","공릉1동_067_2","1","0","0"
"20231211","출발시간","0000","ST-2363","사당1동_034_1","ST-1152","사당3동_024_1","1","4","580"
"20231211","도착시간","0000","ST-2119","쌍문2동_022_1","ST-2119","쌍문2동_022_1","1","0","40"
"20231211","도착시간","0000","ST-2403","송천동_046_1","ST-2403","송천동_046_1","1","0","10"
"20231211","도착시간","0000","ST-2957","문정2동_013_1","ST-2591","가락1동_001_8","1","3","407"
"20231211","출발시간","0000","ST-16","서강동_027_1","ST-16","서강동_027_1","1","0","0"
"20231211","출발시간","0000","ST-1731","목1동_003_1","ST-417","문래동_024_1","1","12","2044"
"20231211","출발시간","0000","ST-1046","성내2동_015_1","ST-388","광장동_013_1","1","11","4310"
"20231211","출발시간","0000","ST-1609","숭인2동_005_1","ST-1813","창신1동_010_1","1","2","920"
"20231211","출발시간","0000","ST-3148","오륜동_001_10","ST-495","성내3동_014_1","1","13","2680"
"20231211","출발시간","0000","ST-1469","창2동_036_1","ST-1100","수유3동_003_1","1","23","3010"
"20231211","도착시간","0000","ST-3166","중앙동_021_1","ST-3166","중앙동_021_1","1","0","0"
"20231211","도착시간","0000","ST-1729","삼전동_046_1","ST-2918","삼전동_046_2","1","2","380"
"20231211","출발시간","0000","ST-1729","삼전동_046_1","ST-2918","삼전동_046_2","1","2","380"
