기준_날짜,전체_건수
2023-11-24,12545.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,10040.0
2023-11-28,13548.0
2023-11-29,12809.0
2023-11-30,11309.0
2023-12-01,11564.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,13445.0
2023-12-05,15073.0
2023-12-06,11220.0
2023-12-07,14473.0
2023-12-08,15666.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,2259.0
2023-12-12,13294.0
2023-12-13,14640.0
2023-12-14,4068.0
2023-12-15,3446.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,8242.0
2023-12-19,8681.0
2023-12-20,5903.0
2023-12-21,6384.0
2023-12-22,6472.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,2979.0
2023-12-26,9127.0
2023-12-27,9838.0
2023-12-28,9950.0
2023-12-29,9982.0
2023-12-30,0.0
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,9783.0
2024-01-04,11483.0
2024-01-05,11784.0
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,8074.0
2024-01-09,5568.0
2024-01-10,9214.0
2024-01-11,10392.0
2024-01-12,10535.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,9221.0
2024-01-16,10142.0
2024-01-17,4922.0
2024-01-18,9282.0
2024-01-19,10963.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,6947.0
2024-01-23,6035.0
2024-01-24,6914.0
2024-01-25,8256.0
2024-01-26,9532.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,10017.0
2024-01-30,10821.0
2024-01-31,11399.0
2024-02-01,11208.0
2024-02-02,11584.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,10511.0
2024-02-08,10466.0
2024-02-09,4467.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,6288.0
2024-02-13,12034.0
2024-02-14,13956.0
2024-02-15,6956.0
2024-02-16,11808.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,1349.0
2024-02-22,4066.0
2024-02-23,9546.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,11391.0
2024-02-27,12109.0
2024-02-28,12566.0
2024-02-29,11800.0
2024-03-01,4686.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,12239.0
2024-03-05,12741.0
2024-03-06,13313.0
2024-03-07,12027.0
2024-03-08,11803.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,13364.0
2024-03-12,10571.0
2024-03-13,13864.0
2024-03-14,13845.0
2024-03-15,14412.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,13694.0
2024-03-19,12197.0
2024-03-20,13001.0
2024-03-21,13515.0
2024-03-22,9823.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,6757.0
2024-03-26,9299.0
2024-03-27,15206.0
2024-03-28,9280.0
2024-03-29,10772.0
2024-03-30,0.0
2024-03-31,0.0
