,대여소_ID,지구 분류(출근),지구 분류(퇴근),일치여부,강서_데이터_시작(출근),강서_데이터_종료(출근),차이(출근),차이 절대값(출근),총 이용량(시작 + 종료)(출근),강서_데이터_시작(퇴근),강서_데이터_종료(퇴근),차이(퇴근),차이절대값(퇴근),총 이용량(시작 + 종료)(퇴근)
101,ST-2538,업무,업무,일치,3447,4654,-1207,1207,8101,3916,2851,1065,1065,6767
102,ST-2539,주거,주거,일치,654,68,586,586,722,262,373,-111,111,635
103,ST-2550,업무,업무,일치,1803,3475,-1672,1672,5278,3805,2545,1260,1260,6350
104,ST-2551,주거,주거,일치,761,397,364,364,1158,1070,1337,-267,267,2407
105,ST-2552,업무,업무,일치,936,1788,-852,852,2724,1911,1103,808,808,3014
106,ST-2553,주거,주거,일치,1412,307,1105,1105,1719,1041,1706,-665,665,2747
107,ST-2555,주거,주거,일치,2143,679,1464,1464,2822,2280,3354,-1074,1074,5634
108,ST-2556,주거,주거,일치,711,311,400,400,1022,739,967,-228,228,1706
109,ST-2557,주거,주거,일치,8627,4041,4586,4586,12668,6549,9782,-3233,3233,16331
110,ST-2558,주거,업무,불일치,870,345,525,525,1215,1476,1243,233,233,2719
111,ST-2569,업무,업무,일치,945,5026,-4081,4081,5971,4125,1552,2573,2573,5677
112,ST-2611,주거,주거,일치,2245,632,1613,1613,2877,2843,3403,-560,560,6246
113,ST-2613,주거,주거,일치,1616,1187,429,429,2803,2229,2932,-703,703,5161
114,ST-2627,업무,업무,일치,298,1497,-1199,1199,1795,1357,391,966,966,1748
115,ST-2752,주거,업무,불일치,946,403,543,543,1349,1020,855,165,165,1875
116,ST-2789,주거,주거,일치,3120,504,2616,2616,3624,1641,3735,-2094,2094,5376
117,ST-2790,업무,업무,일치,159,1101,-942,942,1260,661,211,450,450,872
118,ST-2831,주거,주거,일치,2888,342,2546,2546,3230,1427,3239,-1812,1812,4666
119,ST-2832,주거,주거,일치,3710,938,2772,2772,4648,2128,2984,-856,856,5112
120,ST-2857,주거,업무,불일치,1736,1714,22,22,3450,3650,3491,159,159,7141
121,ST-2858,주거,주거,일치,3786,1636,2150,2150,5422,2485,2586,-101,101,5071
122,ST-2871,업무,업무,일치,5649,10317,-4668,4668,15966,10778,6150,4628,4628,16928
123,ST-2883,주거,주거,일치,2124,789,1335,1335,2913,2310,3075,-765,765,5385
124,ST-2884,업무,업무,일치,1091,3367,-2276,2276,4458,3349,1902,1447,1447,5251
125,ST-2885,업무,업무,일치,225,870,-645,645,1095,1381,954,427,427,2335
126,ST-2886,업무,업무,일치,512,2525,-2013,2013,3037,4009,2309,1700,1700,6318
127,ST-2887,주거,주거,일치,676,259,417,417,935,635,1017,-382,382,1652
128,ST-2888,주거,주거,일치,2091,1356,735,735,3447,4119,5053,-934,934,9172
129,ST-2889,업무,주거,불일치,3559,3790,-231,231,7349,3137,3254,-117,117,6391
130,ST-2890,주거,주거,일치,2059,637,1422,1422,2696,1196,1975,-779,779,3171
131,ST-2943,업무,업무,일치,3413,3570,-157,157,6983,3917,3840,77,77,7757
