대여소_ID,주소1,주소2,위도,경도,isin강서,주소
ST-2399,서울특별시 강서구 강서로 532 동신아파트.대아아파트,,37.572044,126.844002,강서,서울 강서구 강서로 532
ST-2059,서울특별시 강서구 화곡로65길 62 강서구민올림픽체육센터,,37.559906,126.850426,강서,서울 강서구 화곡로65길 62
ST-2058,서울특별시 강서구 수명로2길 105 마곡수명산파크5단지아파트,,37.550617,126.826881,강서,서울 강서구 수명로2길 105
ST-2057,서울특별시 강서구 마곡동 811-6,,37.572975,126.832443,강서,서울 강서구 마곡동 811-6
ST-2056,서울특별시 강서구 내발산동 741-2,,37.553631,126.828613,강서,서울 강서구 내발산동 741-2
ST-2055,서울특별시 강서구 화곡동 663-15,,37.531395,126.847191,강서,서울 강서구 화곡동 663-15
ST-2054,서울특별시 강서구 화곡동 662-6,,37.53159,126.846642,강서,서울 강서구 화곡동 662-6
ST-2053,서울특별시 강서구 마곡서로 133 마곡엠밸리7단지,,37.566689,126.824699,강서,서울 강서구 마곡서로 133
ST-2052,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩,,37.562294,126.823952,강서,서울 강서구 마곡서로 101
ST-2051,서울특별시 강서구 마곡동 741-1,,37.564938,126.819359,강서,서울 강서구 마곡동 741-1
ST-2050,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,,37.558632,126.819916,강서,서울 강서구 마곡중앙1로 71
ST-2049,서울특별시 강서구 마곡동 728-352,,37.555309,126.829857,강서,서울 강서구 마곡동 728-352
ST-2048,서울특별시 강서구 마곡동 728-46,,37.555241,126.834717,강서,서울 강서구 마곡동 728-46
ST-2047,서울특별시 강서구 마곡동 769-4,,37.559128,126.834953,강서,서울 강서구 마곡동 769-4
ST-2046,서울특별시 강서구 마곡중앙로 177 더넥센유니버시티,,37.569485,126.828094,강서,서울 강서구 마곡중앙로 177
ST-2045,서울특별시 강서구 마곡동로 115,,37.565804,126.828079,강서,서울 강서구 마곡동로 115
ST-2044,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,,37.563927,126.830643,강서,서울 강서구 마곡중앙10로 10
ST-2043,서울특별시 강서구 마곡동 775-3,,37.567223,126.834389,강서,서울 강서구 마곡동 775-3
ST-2042,서울특별시 강서구 마곡동로 161 서울식물원,,37.568836,126.835632,강서,서울 강서구 마곡동로 161
ST-2041,서울특별시 강서구 마곡중앙8로3길 79,,37.568485,126.83857,강서,서울 강서구 마곡중앙8로3길 79
ST-2040,서울특별시 강서구 마곡동 789-10,,37.560894,126.836693,강서,서울 강서구 마곡동 789-10
ST-2038,서울특별시 강서구 등촌동 709,,37.561882,126.839157,강서,서울 강서구 등촌동 709
ST-2037,서울특별시 강서구 마곡동 727-1243,,37.563206,126.839363,강서,서울 강서구 마곡동 727-1243
ST-2036,서울특별시 강서구 공항대로 195 힐스테이트에코동익,,37.559658,126.829605,강서,서울 강서구 공항대로 195
ST-2035,서울특별시 강서구 마곡중앙8로 32 스페이스K 서울,,37.561211,126.830345,강서,서울 강서구 마곡중앙8로 32
ST-2034,서울특별시 강서구 마곡동 806-5,,37.555191,126.831467,강서,서울 강서구 마곡동 806-5
ST-2033,서울특별시 강서구 마곡중앙8로 71 엘지사이언스파크,,37.561337,126.8339,강서,서울 강서구 마곡중앙8로 71
ST-2032,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,,37.570942,126.828316,강서,서울 강서구 마곡중앙로 201
ST-2031,서울특별시 강서구 마곡중앙5로 2 마곡나루역(9호선),,37.566925,126.827438,강서,서울 강서구 마곡중앙5로 2
ST-2030,서울특별시 강서구 강서로47길 108 마곡수명산파크1단지아파트,,37.553352,126.831047,강서,서울 강서구 강서로47길 108
ST-2029,서울특별시 강서구 화곡동 19-2,,37.548534,126.846672,강서,서울 강서구 화곡동 19-2
ST-2028,서울특별시 강서구 가로공원로 240,,37.538357,126.842361,강서,서울 강서구 가로공원로 240
ST-2027,서울특별시 강서구 가로공원로 189 가로공원로 지하공영주차장,,37.537361,126.837448,강서,서울 강서구 가로공원로 189
ST-2026,서울특별시 강서구 강서로 515 라이품,,37.57132,126.841667,강서,서울 강서구 강서로 515
ST-2025,서울특별시 강서구 가양동 1459-11,,37.564587,126.856918,강서,서울 강서구 가양동 1459-11
ST-2024,서울특별시 강서구 가양동 18-23,,37.564682,126.848907,강서,서울 강서구 가양동 18-23
ST-2023,서울특별시 강서구 가양동 1458-13,,37.57037,126.844414,강서,서울 강서구 가양동 1458-13
ST-2022,서울특별시 강서구 방화동 813-18,,37.576317,126.816498,강서,서울 강서구 방화동 813-18
ST-2021,서울특별시 강서구 양천로 431 홈플러스가양점,,37.564404,126.84922,강서,서울 강서구 양천로 431
ST-2020,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥,,37.558521,126.854012,강서,서울 강서구 화곡로 398
ST-2018,서울특별시 강서구 공항대로 607 서울도시가스사옥,,37.547485,126.872025,강서,서울 강서구 공항대로 607
ST-1750,서울특별시 강서구 개화동로8길 17,개화정비,37.577908,126.798042,강서,서울 강서구 개화동로8길 17
ST-1727,서울특별시 강서구 마곡서1로 146,마곡엠밸리2단지 202동 인근,37.56918,126.819443,강서,서울 강서구 마곡서1로 146
ST-1718,서울특별시 강서구 마곡중앙5로 지하 2,마곡나루역(공항철도) 5번출구 뒤편,37.565201,126.827316,강서,서울 강서구 마곡중앙5로 2
ST-1715,서울특별시 강서구 마곡중앙10로 10,LG 사이언스파크,37.56255,126.827438,강서,서울 강서구 마곡중앙10로 10
ST-1714,서울특별시 강서구 강서로 247,엘펠리체 호텔 건너편,37.560242,126.835808,강서,서울 강서구 강서로 247
ST-1713,서울특별시 강서구 마곡동로 161,서울식물원(문화센터) 건너편,37.568241,126.835831,강서,서울 강서구 마곡동로 161
ST-1712,서울특별시 강서구 마곡동로 110,코오롱글로벌㈜,37.564129,126.834312,강서,서울 강서구 마곡동로 110
ST-1711,서울특별시 강서구 마곡중앙8로3길 21,케이티엔에프빌딩 인근,37.563301,126.836823,강서,서울 강서구 마곡중앙8로3길 21
ST-1710,서울특별시 강서구 내발산동 741-8,,37.55545,126.826897,강서,서울 강서구 내발산동 741-8
ST-1709,서울특별시 강서구 공항대로 지하 163,마곡역 교차로(2번출구),37.560501,126.826653,강서,서울 강서구 공항대로 163
ST-1708,서울특별시 강서구 마곡중앙로 201,롯데중앙연구소,37.571381,126.828339,강서,서울 강서구 마곡중앙로 201
ST-1695,서울특별시 강서구 개화동로8길 38,개화광역환승센터,37.578449,126.798973,강서,서울 강서구 개화동로8길 38
ST-1694,서울특별시 강서구 강서로 247,우장산역 3번출구,37.547821,126.836128,강서,서울 강서구 강서로 247
ST-1689,서울특별시 강서구 마곡중앙로 76,힐스테이트에코마곡역,37.560242,126.827164,강서,서울 강서구 마곡중앙로 76
ST-1688,서울특별시 강서구 공항대로 227,마곡센트럴타워 1차,37.559471,126.832077,강서,서울 강서구 공항대로 227
ST-1676,서울특별시 강서구 발산로 24,강서수산물도매시장,37.55302,126.818367,강서,서울 강서구 발산로 24
ST-1647,서울특별시 강서구 방화대로5길 7,송정중학교,37.554729,126.816093,강서,서울 강서구 방화대로5길 7
ST-1646,서울특별시 강서구 화곡로63가길 92,등촌9단지,37.562901,126.849472,강서,서울 강서구 화곡로63가길 92
ST-1645,서울특별시 강서구 방화대로7길 6,마곡13단지,37.55645,126.815979,강서,서울 강서구 방화대로7길 6
ST-1520,서울특별시 강서구 까치산로24길 47,KC 대학교,37.548321,126.853401,강서,서울 강서구 까치산로24길 47
ST-1519,서울특별시 강서구 공항대로 376,KBS 스포츠월드,37.556877,126.848808,강서,서울 강서구 공항대로 376
ST-1518,서울특별시 강서구 발산로 40,농산식품공사 (강서지사),37.551044,126.818497,강서,서울 강서구 발산로 40
ST-1517,서울특별시 강서구 마곡중앙로 36,마곡엠밸리 15단지(1502동) 건너편,37.557468,126.82972,강서,서울 강서구 마곡중앙로 36
ST-1516,서울특별시 강서구 강서로 409,국민건강보험공단(강서지사) 건너편,37.562099,126.839256,강서,서울 강서구 강서로 409
ST-1515,서울특별시 강서구 양천로 22,개화산역 2번 출구,37.572472,126.806168,강서,서울 강서구 양천로 22
ST-1514,서울특별시 강서구 수명로1길 16,마곡수명산파크4단지아파트 401동 앞,37.55011,126.823677,강서,서울 강서구 수명로1길 16
ST-1513,서울특별시 강서구 개화동로 495,공항고등학교 정문,37.567921,126.805473,강서,서울 강서구 개화동로 495
ST-1512,서울특별시 강서구 공항대로 453,대한항공 인력개발센터,37.554379,126.857536,강서,서울 강서구 공항대로 453
ST-1511,서울특별시 강서구 공항대로 389 부민병원,,37.556614,126.851166,강서,서울 강서구 공항대로 389
ST-1510,서울특별시 강서구 공항대로 411,강서구청사거리(SH타워),37.556736,126.853073,강서,서울 강서구 공항대로 411
ST-1509,서울특별시 강서구 허준로 202,가양3동 주민센터,37.561249,126.86058,강서,서울 강서구 허준로 202
ST-1508,서울특별시 강서구 양천로 696,염창동 새마을금고 건너편 (모닝글로리),37.550049,126.873161,강서,서울 강서구 양천로 696
ST-1507,서울특별시 강서구 공항대로 571,강서구보건소 (삼성디지털 프라자),37.549179,126.868797,강서,서울 강서구 공항대로 571
ST-1506,서울특별시 강서구 공항대로 625,염창역 1번 출구,37.547199,126.874489,강서,서울 강서구 공항대로 625
ST-1402,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지,,37.560291,126.818756,강서,서울 강서구 마곡중앙1로 72
ST-1352,서울특별시 강서구 내발산동 751-3,,37.553509,126.825867,강서,서울 강서구 내발산동 751-3
ST-1351,서울특별시 강서구 강서로62길 48,강서구립등빛도서관,37.562569,126.842461,강서,서울 강서구 강서로62길 48
ST-1338,서울특별시 강서구 마곡중앙5로 58,마곡중학교 후문,37.568447,126.821648,강서,서울 강서구 마곡중앙5로 58
ST-1255,서울특별시 강서구 허준로 65,기쁜우리복지관,0,0,강서,서울 강서구 허준로 65
ST-1254,서울특별시 강서구 방화대로34길 65,방화동 강서기동대앞,37.570499,126.820084,강서,서울 강서구 방화대로34길 65
ST-1253,서울특별시 강서구 마곡서1로 68,공항초등학교건너편,37.562679,126.820473,강서,서울 강서구 마곡서1로 68
ST-1252,서울특별시 강서구 남부순환로 171,강서면허시험장앞,37.549694,126.819664,강서,서울 강서구 남부순환로 171
ST-1251,서울특별시 강서구 양천로 지하 341,양천향교역 7번출구 앞,37.56768,126.840897,강서,서울 강서구 양천로 341
ST-1250,서울특별시 강서구 양천로53길 30,서서울모터리움앞,37.565853,126.846596,강서,서울 강서구 양천로53길 30
ST-1249,서울특별시 강서구 양천로 지하 485,가양역 8번출구,37.561035,126.854813,강서,서울 강서구 양천로 485
ST-1069,서울특별시 강서구 화곡로 302,강서구청,37.550659,126.84977,강서,서울 강서구 화곡로 302
ST-1068,서울특별시 강서구 화곡동 1136-1,한국여자 농구연맹 건너편,0,0,강서,서울 강서구 화곡동 1136-1
ST-1067,서울특별시 강서구 가양동 1458-15,기쁜우리복지관,37.56926,126.848419,강서,서울 강서구 가양동 1458-15
ST-1066,서울특별시 서울 강서구 내발산동 741-8,마곡수명산파크2단지 교차로,0,0,강서,서울 강서구 내발산동 741-8
ST-1065,서울특별시 강서구 마곡동 797-5,,37.558949,126.837173,강서,서울 강서구 마곡동 797-5
ST-1064,서울특별시 강서구 마곡동 728-168,마곡역7번출구,37.558311,126.826523,강서,서울 강서구 마곡동 728-168
ST-1063,서울특별시 강서구 공항대로 163 마곡역(5호선),,37.560207,126.824142,강서,서울 강서구 공항대로 163
ST-1062,서울특별시 강서구 공항대로 33 송정역(5호선),,37.561531,126.810699,강서,서울 강서구 공항대로 33
