,대여소_ID,주소1,주소2,주소,분류,용도지역,
51,ST-3226,서울특별시 강서구 강서로56길 49 원당공원화장실,,서울 강서구 강서로56길 49,주거지역,주거지역,
52,ST-3183,서울특별시 강서구 화곡동 947-3,,서울 강서구 화곡동 947-3,주거지역,주거지역,
53,ST-3145,서울특별시 강서구 공항대로 213 보타닉파크타워2,,서울 강서구 공항대로 213,상업지역,상업지역,
54,ST-3137,서울특별시 강서구 마곡동 761-5,,서울 강서구 마곡동 761-5,상업지역,상업지역,
55,ST-3129,서울특별시 강서구 방화대로50길 8 연세강서빌딩,,서울 강서구 방화대로50길 8,주거지역,주거지역,
56,ST-3128,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,,서울 강서구 마곡중앙10로 70,상업지역,상업지역,
57,ST-3125,서울특별시 강서구 공항대로 543 센터스퀘어,,서울 강서구 공항대로 543,주거지역,주거지역,
58,ST-3118,서울특별시 강서구 허준로 217 가양테크노타운,,서울 강서구 허준로 217,주거지역,주거지역,
59,ST-3100,서울특별시 강서구 등촌동 681-2,,서울 강서구 등촌동 681-2,주거지역,주거지역,
60,ST-3094,서울특별시 강서구 화곡로 416 가양역 더스카이밸리5차 지식산업센터,,서울 강서구 화곡로 416,상업지역,상업지역,
61,ST-3084,서울특별시 강서구 가양동 14-26,,서울 강서구 가양동 14-26,상업지역,상업지역,
62,ST-3068,서울특별시 강서구 양천로 660 왈도강서캠퍼스,,서울 강서구 양천로 660,상업지역,상업지역,
63,ST-3031,서울특별시 강서구 외발산동 276-9,,서울 강서구 외발산동 276-9, , ,
64,ST-2994,서울특별시 강서구 공항대로 509 우림보보카운티뷰오피스텔,,서울 강서구 공항대로 509,주거지역,주거지역,
65,ST-2993,서울특별시 강서구 마곡동 798-17,,서울 강서구 마곡동 798-17,주거지역,주거지역,
66,ST-2992,서울특별시 강서구 화곡동 1013-3,,서울 강서구 화곡동 1013-3,주거지역,주거지역,
67,ST-2965,서울특별시 강서구 마곡동 748-4,,서울 강서구 마곡동 748-4,주거지역,주거지역,
68,ST-2947,서울특별시 강서구 방화동 886-15,,서울 강서구 방화동 886-15,주거지역,주거지역,
69,ST-2946,서울특별시 강서구 염창동 284-46,,서울 강서구 염창동 284-46,상업지역,상업지역,
70,ST-2945,서울특별시 강서구 마곡동 800-23,,서울 강서구 마곡동 800-23,주거지역,주거지역,
71,ST-2944,서울특별시 강서구 양천로55길 55 강서한강자이,,서울 강서구 양천로55길 55,상업지역,상업지역,
72,ST-2943,서울특별시 강서구 가양동,,, , ,x
73,ST-2890,서울특별시 강서구 마곡동 222-32,,서울 강서구 마곡동 222-32, ,주거지역,
74,ST-2889,서울특별시 강서구 마곡동 767-3,,서울 강서구 마곡동 767-3,상업지역,상업지역,
75,ST-2888,서울특별시 강서구 내발산동 657-2,,서울 강서구 내발산동 657-2,주거지역,주거지역,
76,ST-2887,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터,,서울 강서구 곰달래로37길 13,주거지역,주거지역,
77,ST-2886,서울특별시 강서구 마곡동 799,,서울 강서구 마곡동 799,상업지역,상업지역,
