,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4
0,ST-1694,서울특별시 강서구 강서로 247,우장산역 3번출구,37.547821,126.836128,강서,서울 강서구 강서로 247,제3종일반주거지역,도시지역,준주거지역,건축선
1,ST-1689,서울특별시 강서구 마곡중앙로 76,힐스테이트에코마곡역,37.560242,126.827164,강서,서울 강서구 마곡중앙로 76,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역
2,ST-1688,서울특별시 강서구 공항대로 227,마곡센트럴타워 1차,37.559471,126.832077,강서,서울 강서구 공항대로 227,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역
3,ST-1676,서울특별시 강서구 발산로 24,강서수산물도매시장,37.55302,126.818367,강서,서울 강서구 발산로 24,생산녹지지역,도시지역,유통상업지역,중요시설물보호지구(공항)
4,ST-1647,서울특별시 강서구 방화대로5길 7,송정중학교,37.554729,126.816093,강서,서울 강서구 방화대로5길 7,도시관리계획 입안중,제2종일반주거지역,도시지역,중요시설물보호지구(공항)
5,ST-1646,서울특별시 강서구 화곡로63가길 92,등촌9단지,37.562901,126.849472,강서,서울 강서구 화곡로63가길 92,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
6,ST-1645,서울특별시 강서구 방화대로7길 6,마곡13단지,37.55645,126.815979,강서,서울 강서구 방화대로7길 6,제3종일반주거지역,도시관리계획 입안중,도시지역,중요시설물보호지구(공항)
7,ST-1520,서울특별시 강서구 까치산로24길 47,KC 대학교,37.548321,126.853401,강서,서울 강서구 까치산로24길 47,도시관리계획 입안중,도시지역,제1종일반주거지역,중요시설물보호지구(공항)
8,ST-1519,서울특별시 강서구 공항대로 376,KBS 스포츠월드,37.556877,126.848808,강서,서울 강서구 공항대로 376,제2종일반주거지역,도시지역,중요시설물보호지구(공항),체육시설
9,ST-1518,서울특별시 강서구 발산로 40,농산식품공사 (강서지사),37.551044,126.818497,강서,서울 강서구 발산로 40,도시지역,유통상업지역,중요시설물보호지구(공항),유통업무설비
10,ST-1517,서울특별시 강서구 마곡중앙로 36,마곡엠밸리 15단지(1502동) 건너편,37.557468,126.82972,강서,서울 강서구 마곡중앙로 36,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
11,ST-1516,서울특별시 강서구 강서로 409,국민건강보험공단(강서지사) 건너편,37.562099,126.839256,강서,서울 강서구 강서로 409,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역
12,ST-1515,서울특별시 강서구 양천로 22,개화산역 2번 출구,37.572472,126.806168,강서,서울 강서구 양천로 22,제3종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역
13,ST-1514,서울특별시 강서구 수명로1길 16,마곡수명산파크4단지아파트 401동 앞,37.55011,126.823677,강서,서울 강서구 수명로1길 16,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항)
14,ST-1513,서울특별시 강서구 개화동로 495,공항고등학교 정문,37.567921,126.805473,강서,서울 강서구 개화동로 495,도시지역,자연녹지지역,제2종일반주거지역,중요시설물보호지구(공항)
