"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230115","0000","ST-1237","ST-1237","1","0","0"
"20230115","0000","ST-1714","ST-1714","1","0","0"
"20230115","0000","ST-2040","ST-2040","1","0","0"
"20230115","0000","ST-2231","ST-2231","1","0","0"
"20230115","0000","ST-2355","ST-2355","1","0","0"
"20230115","0000","ST-2394","ST-2394","1","0","0"
"20230115","0000","ST-242","ST-242","1","0","10"
"20230115","0000","ST-292","ST-292","1","0","0"
"20230115","0000","ST-428","ST-428","1","0","0"
"20230115","0000","ST-645","ST-645","1","0","0"
"20230115","0000","ST-70","ST-70","1","0","0"
"20230115","0005","ST-1285","ST-1285","1","0","0"
"20230115","0005","ST-1496","ST-1496","1","0","0"
"20230115","0005","ST-1718","ST-1718","2","0","0"
"20230115","0005","ST-2225","ST-2225","1","0","0"
"20230115","0005","ST-2806","ST-2806","1","0","0"
"20230115","0005","ST-3078","ST-3078","1","0","10"
"20230115","0005","ST-315","ST-315","1","0","0"
"20230115","0005","ST-66","ST-66","1","0","0"
"20230115","0010","ST-1718","ST-1718","3","0","0"
"20230115","0010","ST-1900","ST-1900","1","0","0"
"20230115","0010","ST-2047","ST-2047","1","0","0"
"20230115","0010","ST-2119","ST-2119","1","0","0"
"20230115","0010","ST-2168","ST-2168","2","0","0"
"20230115","0010","ST-2195","ST-2195","1","0","0"
"20230115","0010","ST-2200","ST-2200","2","0","0"
"20230115","0010","ST-2835","ST-2835","1","0","0"
"20230115","0010","ST-372","ST-372","1","1","0"
"20230115","0010","ST-600","ST-600","1","1","30"
"20230115","0015","ST-1531","ST-1531","1","0","0"
"20230115","0015","ST-1718","ST-1718","2","0","0"
"20230115","0015","ST-1812","ST-1812","1","0","0"
"20230115","0015","ST-2764","ST-2764","1","0","88"
"20230115","0015","ST-285","ST-285","1","0","0"
"20230115","0015","ST-93","ST-93","1","0","0"
"20230115","0020","ST-1331","ST-1331","1","0","0"
"20230115","0020","ST-1496","ST-1496","1","1","10"
"20230115","0020","ST-1718","ST-1718","2","0","0"
"20230115","0020","ST-1938","ST-1938","1","0","0"
"20230115","0020","ST-2044","ST-2044","1","1","0"
"20230115","0020","ST-2358","ST-2358","1","0","0"
"20230115","0020","ST-2501","ST-2501","1","0","0"
"20230115","0020","ST-280","ST-280","1","0","0"
"20230115","0020","ST-358","ST-358","1","0","0"
"20230115","0020","ST-536","ST-536","1","0","0"
"20230115","0020","ST-73","ST-73","1","0","0"
"20230115","0020","ST-933","ST-933","1","0","0"
"20230115","0025","ST-1718","ST-1718","3","0","0"
"20230115","0025","ST-18","ST-18","1","1","10"
"20230115","0025","ST-2558","ST-2558","1","0","0"
"20230115","0025","ST-3056","ST-3056","1","0","0"
"20230115","0025","ST-3155","ST-3155","1","0","0"
"20230115","0025","ST-923","ST-923","1","0","0"
"20230115","0025","ST-97","ST-97","1","0","0"
"20230115","0030","ST-2286","ST-2286","1","1","0"
"20230115","0030","ST-2558","ST-2558","1","0","0"
"20230115","0030","ST-416","ST-416","1","0","0"
"20230115","0030","ST-524","ST-524","1","0","0"
"20230115","0030","ST-849","ST-849","1","0","0"
"20230115","0035","ST-1714","ST-1714","1","0","0"
"20230115","0035","ST-1977","ST-1977","1","0","0"
"20230115","0035","ST-20","ST-20","1","0","0"
"20230115","0035","ST-204","ST-204","1","0","0"
"20230115","0040","ST-1667","ST-1667","1","0","0"
"20230115","0040","ST-1701","ST-1701","1","0","0"
"20230115","0040","ST-1807","ST-1807","1","0","0"
"20230115","0040","ST-201","ST-201","1","0","0"
"20230115","0045","ST-1717","ST-1717","1","0","0"
"20230115","0045","ST-2235","ST-2235","1","0","0"
"20230115","0045","ST-2883","ST-2883","1","0","0"
"20230115","0045","ST-3142","ST-3142","1","0","0"
"20230115","0045","ST-906","ST-906","1","0","0"
"20230115","0050","ST-1079","ST-1079","1","0","0"
"20230115","0050","ST-1897","ST-1897","1","0","0"
"20230115","0050","ST-2031","ST-2031","2","0","0"
"20230115","0050","ST-252","ST-252","1","0","0"
"20230115","0050","ST-906","ST-906","1","0","0"
"20230115","0055","ST-1649","ST-1649","1","0","0"
"20230115","0055","ST-931","ST-931","1","0","0"
"20230115","0100","ST-151","ST-151","1","0","0"
"20230115","0100","ST-1731","ST-1731","1","0","0"
"20230115","0100","ST-2888","ST-2888","1","0","0"
"20230115","0100","ST-358","ST-358","1","1","0"
"20230115","0100","ST-685","ST-685","1","0","0"
"20230115","0100","ST-882","ST-882","1","0","0"
"20230115","0100","ST-948","ST-948","1","0","0"
"20230115","0105","ST-2003","ST-2003","1","0","0"
"20230115","0105","ST-3084","ST-3084","1","0","0"
"20230115","0105","ST-512","ST-512","1","0","0"
"20230115","0105","ST-842","ST-842","1","0","0"
"20230115","0105","ST-882","ST-882","1","0","0"
"20230115","0110","ST-1564","ST-1564","1","0","0"
"20230115","0115","ST-1201","ST-1201","1","0","0"
"20230115","0115","ST-1869","ST-1869","1","0","0"
"20230115","0115","ST-454","ST-454","1","0","0"
"20230115","0115","ST-486","ST-486","1","0","0"
"20230115","0120","ST-2160","ST-2160","1","0","0"
"20230115","0120","ST-2326","ST-2326","1","0","0"
"20230115","0120","ST-2792","ST-2792","1","0","0"
"20230115","0120","ST-605","ST-605","1","0","0"
"20230115","0120","ST-666","ST-666","1","0","0"
"20230115","0120","ST-78","ST-78","1","0","0"
"20230115","0125","ST-1731","ST-1731","1","0","0"
"20230115","0135","ST-1836","ST-1836","1","1","0"
"20230115","0135","ST-2605","ST-2605","1","0","0"
"20230115","0135","ST-834","ST-834","1","0","0"
"20230115","0140","ST-3158","ST-3158","1","0","0"
"20230115","0150","ST-1986","ST-1986","1","0","0"
"20230115","0150","ST-2103","ST-2103","1","0","0"
"20230115","0150","ST-948","ST-948","1","0","0"
"20230115","0155","ST-1106","ST-1106","1","0","0"
"20230115","0155","ST-1670","ST-1670","1","0","0"
"20230115","0200","ST-1353","ST-1353","1","0","0"
"20230115","0200","ST-245","ST-245","1","0","0"
"20230115","0200","ST-514","ST-514","1","0","0"
"20230115","0205","ST-1817","ST-1817","1","0","0"
"20230115","0210","ST-2630","ST-2630","3","0","0"
"20230115","0215","ST-2076","ST-2076","1","0","0"
"20230115","0225","ST-1097","ST-1097","1","0","0"
"20230115","0225","ST-3071","ST-3071","1","0","0"
"20230115","0230","ST-1895","ST-1895","1","0","0"
"20230115","0230","ST-857","ST-857","1","0","0"
"20230115","0235","ST-2023","ST-2023","1","0","0"
"20230115","0235","ST-811","ST-811","1","0","0"
"20230115","0240","ST-2497","ST-2497","1","0","0"
"20230115","0240","ST-2533","ST-2533","1","0","0"
"20230115","0240","ST-857","ST-857","1","0","10"
"20230115","0255","ST-12","ST-12","1","0","0"
"20230115","0300","ST-2280","ST-2280","1","0","0"
"20230115","0300","ST-2422","ST-2422","1","0","0"
"20230115","0310","ST-2339","ST-2339","1","0","0"
"20230115","0310","ST-294","ST-294","1","0","0"
"20230115","0315","ST-629","ST-629","1","0","0"
"20230115","0320","ST-723","ST-723","1","0","0"
"20230115","0330","ST-1484","ST-1484","1","0","0"
"20230115","0340","ST-416","ST-416","1","0","0"
"20230115","0350","ST-1065","ST-1065","1","0","0"
"20230115","0355","ST-1111","ST-1111","1","0","0"
"20230115","0400","ST-1496","ST-1496","1","0","0"
"20230115","0400","ST-2978","ST-2978","1","1","0"
"20230115","0420","ST-16","ST-16","1","0","0"
"20230115","0420","ST-1690","ST-1690","1","1","0"
"20230115","0425","ST-2883","ST-2883","1","1","0"
"20230115","0425","ST-413","ST-413","1","0","10"
"20230115","0445","ST-2557","ST-2557","1","0","0"
"20230115","0550","ST-1728","ST-1728","1","0","0"
"20230115","0550","ST-835","ST-835","1","0","0"
"20230115","0555","ST-303","ST-303","1","0","0"
"20230115","0610","ST-1708","ST-1708","1","0","0"
"20230115","0625","ST-257","ST-257","1","0","0"
"20230115","0700","ST-1288","ST-1288","1","0","0"
"20230115","0710","ST-320","ST-320","2","0","0"
"20230115","0710","ST-503","ST-503","1","0","0"
"20230115","0715","ST-1323","ST-1323","1","0","0"
"20230115","0720","ST-514","ST-514","1","0","0"
"20230115","0730","ST-1850","ST-1850","1","0","0"
"20230115","0730","ST-205","ST-205","1","0","0"
"20230115","0730","ST-2094","ST-2094","1","0","0"
"20230115","0735","ST-870","ST-870","1","0","0"
"20230115","0740","ST-2832","ST-2832","1","0","0"
"20230115","0745","ST-1390","ST-1390","1","0","0"
"20230115","0745","ST-1997","ST-1997","1","0","0"
"20230115","0750","ST-1003","ST-1003","1","0","0"
"20230115","0755","ST-2888","ST-2888","1","0","0"
"20230115","0800","ST-1331","ST-1331","1","0","0"
"20230115","0800","ST-387","ST-387","1","0","0"
"20230115","0815","ST-2844","ST-2844","1","0","0"
"20230115","0825","ST-211","ST-211","1","0","0"
"20230115","0830","ST-1202","ST-1202","1","0","0"
"20230115","0835","ST-2490","ST-2490","1","0","0"
"20230115","0840","ST-1710","ST-1710","1","0","0"
"20230115","0840","ST-2542","ST-2542","1","0","0"
"20230115","0845","ST-1102","ST-1102","1","0","0"
"20230115","0850","ST-1651","ST-1651","2","1","0"
"20230115","0855","ST-1253","ST-1253","1","0","0"
"20230115","0855","ST-780","ST-780","2","0","0"
"20230115","0910","ST-1065","ST-1065","1","0","0"
"20230115","0910","ST-1423","ST-1423","1","0","0"
"20230115","0910","ST-1896","ST-1896","1","0","0"
"20230115","0920","ST-30","ST-30","1","0","0"
"20230115","0925","ST-306","ST-306","1","0","0"
"20230115","0935","ST-1406","ST-1406","1","0","0"
"20230115","0935","ST-1660","ST-1660","1","0","0"
"20230115","0935","ST-233","ST-233","1","0","0"
"20230115","0940","ST-1263","ST-1263","1","1","0"
"20230115","0945","ST-1249","ST-1249","1","1","0"
"20230115","0945","ST-1665","ST-1665","1","0","0"
"20230115","0950","ST-1832","ST-1832","1","0","0"
"20230115","0950","ST-2398","ST-2398","1","0","0"
"20230115","0955","ST-438","ST-438","1","0","0"
"20230115","1000","ST-3136","ST-3136","1","0","0"
"20230115","1010","ST-114","ST-114","1","0","0"
"20230115","1015","ST-1208","ST-1208","1","0","0"
"20230115","1015","ST-1751","ST-1751","1","0","0"
"20230115","1015","ST-2026","ST-2026","1","0","0"
"20230115","1015","ST-2057","ST-2057","1","0","0"
"20230115","1020","ST-121","ST-121","1","0","0"
"20230115","1020","ST-2831","ST-2831","1","0","0"
"20230115","1020","ST-880","ST-880","1","0","0"
"20230115","1025","ST-978","ST-978","1","0","0"
"20230115","1030","ST-1485","ST-1485","1","0","0"
"20230115","1030","ST-2070","ST-2070","1","0","0"
"20230115","1030","ST-335","ST-335","1","0","0"
"20230115","1035","ST-2005","ST-2005","1","0","0"
"20230115","1035","ST-2169","ST-2169","1","0","0"
"20230115","1035","ST-248","ST-248","1","0","0"
"20230115","1035","ST-2889","ST-2889","1","0","0"
"20230115","1035","ST-883","ST-883","1","0","0"
"20230115","1040","ST-1095","ST-1095","1","0","0"
"20230115","1040","ST-2237","ST-2237","1","0","0"
"20230115","1050","ST-1869","ST-1869","1","0","0"
"20230115","1050","ST-2696","ST-2696","1","0","0"
"20230115","1050","ST-2713","ST-2713","1","0","0"
"20230115","1050","ST-97","ST-97","1","1","0"
"20230115","1055","ST-1402","ST-1402","1","0","0"
"20230115","1055","ST-2396","ST-2396","1","0","0"
"20230115","1055","ST-448","ST-448","1","0","0"
"20230115","1100","ST-1650","ST-1650","2","0","0"
"20230115","1100","ST-2815","ST-2815","1","0","0"
"20230115","1100","ST-2844","ST-2844","1","0","0"
"20230115","1105","ST-2789","ST-2789","1","0","0"
"20230115","1105","ST-2961","ST-2961","1","0","0"
"20230115","1110","ST-2031","ST-2031","1","0","0"
"20230115","1110","ST-2491","ST-2491","1","1","0"
"20230115","1110","ST-2703","ST-2703","1","0","0"
"20230115","1110","ST-82","ST-82","1","0","0"
"20230115","1115","ST-113","ST-113","1","0","0"
"20230115","1115","ST-2861","ST-2861","1","0","0"
"20230115","1115","ST-637","ST-637","1","0","0"
"20230115","1120","ST-829","ST-829","1","1","0"
"20230115","1120","ST-931","ST-931","1","0","0"
"20230115","1125","ST-1866","ST-1866","1","0","0"
"20230115","1125","ST-42","ST-42","1","0","0"
"20230115","1125","ST-559","ST-559","1","0","0"
"20230115","1130","ST-1067","ST-1067","1","0","0"
"20230115","1130","ST-1798","ST-1798","1","0","0"
"20230115","1135","ST-1223","ST-1223","1","0","0"
"20230115","1140","ST-1553","ST-1553","1","0","0"
"20230115","1140","ST-2546","ST-2546","1","0","0"
"20230115","1140","ST-294","ST-294","2","0","0"
"20230115","1140","ST-795","ST-795","1","0","0"
"20230115","1145","ST-1137","ST-1137","1","0","0"
"20230115","1145","ST-1664","ST-1664","1","0","0"
"20230115","1145","ST-1867","ST-1867","1","0","0"
"20230115","1145","ST-2774","ST-2774","1","0","0"
"20230115","1145","ST-315","ST-315","1","0","0"
"20230115","1145","ST-827","ST-827","2","0","0"
"20230115","1150","ST-2787","ST-2787","1","0","0"
"20230115","1150","ST-3029","ST-3029","2","0","0"
"20230115","1155","ST-1539","ST-1539","1","0","0"
"20230115","1155","ST-1820","ST-1820","1","0","0"
"20230115","1155","ST-2079","ST-2079","1","0","0"
"20230115","1155","ST-2086","ST-2086","1","0","0"
"20230115","1155","ST-2609","ST-2609","1","0","0"
"20230115","1155","ST-2818","ST-2818","1","0","0"
"20230115","1155","ST-345","ST-345","1","0","0"
"20230115","1155","ST-834","ST-834","1","0","0"
"20230115","1200","ST-1015","ST-1015","1","0","0"
"20230115","1200","ST-102","ST-102","1","0","0"
"20230115","1200","ST-1198","ST-1198","1","0","0"
"20230115","1200","ST-486","ST-486","1","0","0"
"20230115","1200","ST-630","ST-630","1","0","0"
"20230115","1205","ST-1545","ST-1545","1","0","0"
"20230115","1205","ST-1851","ST-1851","1","0","0"
"20230115","1205","ST-2059","ST-2059","1","1","0"
"20230115","1205","ST-2777","ST-2777","1","0","0"
"20230115","1210","ST-1191","ST-1191","1","1","0"
"20230115","1210","ST-2120","ST-2120","1","1","0"
"20230115","1210","ST-2177","ST-2177","1","0","0"
"20230115","1210","ST-2718","ST-2718","1","0","0"
"20230115","1210","ST-400","ST-400","1","0","0"
"20230115","1215","ST-2086","ST-2086","1","0","0"
"20230115","1215","ST-2896","ST-2896","1","0","0"
"20230115","1215","ST-951","ST-951","1","0","0"
"20230115","1220","ST-2606","ST-2606","1","0","0"
"20230115","1220","ST-913","ST-913","1","0","0"
"20230115","1220","ST-983","ST-983","1","0","0"
"20230115","1225","ST-1701","ST-1701","1","0","0"
"20230115","1225","ST-461","ST-461","1","0","0"
"20230115","1230","ST-1413","ST-1413","1","0","0"
"20230115","1230","ST-1819","ST-1819","1","0","0"
"20230115","1230","ST-250","ST-250","1","0","0"
"20230115","1230","ST-2722","ST-2722","1","1","0"
"20230115","1230","ST-3121","ST-3121","1","0","0"
"20230115","1235","ST-284","ST-284","1","0","0"
"20230115","1235","ST-882","ST-882","1","0","0"
"20230115","1240","ST-1031","ST-1031","1","0","0"
"20230115","1240","ST-1193","ST-1193","1","0","0"
"20230115","1240","ST-174","ST-174","1","0","0"
"20230115","1245","ST-1031","ST-1031","1","0","0"
"20230115","1245","ST-1072","ST-1072","1","0","0"
"20230115","1245","ST-1124","ST-1124","1","0","0"
"20230115","1245","ST-1868","ST-1868","1","0","0"
"20230115","1245","ST-2533","ST-2533","1","0","0"
"20230115","1245","ST-2948","ST-2948","1","0","0"
"20230115","1245","ST-2984","ST-2984","1","0","0"
"20230115","1245","ST-525","ST-525","1","0","0"
"20230115","1245","ST-952","ST-952","1","0","0"
"20230115","1250","ST-1850","ST-1850","1","0","0"
"20230115","1250","ST-2074","ST-2074","1","0","0"
"20230115","1250","ST-2177","ST-2177","1","0","0"
"20230115","1250","ST-2477","ST-2477","1","0","0"
"20230115","1250","ST-2490","ST-2490","1","0","0"
"20230115","1250","ST-2832","ST-2832","1","0","0"
"20230115","1250","ST-503","ST-503","1","0","20"
"20230115","1255","ST-1510","ST-1510","1","0","0"
"20230115","1255","ST-1797","ST-1797","1","0","0"
"20230115","1255","ST-2876","ST-2876","1","0","0"
"20230115","1255","ST-735","ST-735","2","0","0"
"20230115","1255","ST-753","ST-753","1","0","0"
"20230115","1300","ST-2625","ST-2625","1","0","0"
"20230115","1300","ST-2718","ST-2718","1","0","0"
"20230115","1305","ST-1171","ST-1171","1","0","0"
"20230115","1305","ST-1689","ST-1689","1","0","0"
"20230115","1305","ST-2079","ST-2079","1","0","0"
"20230115","1305","ST-3092","ST-3092","1","0","0"
"20230115","1305","ST-361","ST-361","2","0","0"
"20230115","1305","ST-646","ST-646","1","0","0"
"20230115","1305","ST-99","ST-99","1","0","0"
"20230115","1310","ST-831","ST-831","1","0","0"
"20230115","1310","ST-89","ST-89","1","0","0"
"20230115","1310","ST-96","ST-96","1","0","0"
"20230115","1315","ST-1006","ST-1006","1","1","10"
"20230115","1315","ST-106","ST-106","1","0","0"
"20230115","1315","ST-1275","ST-1275","1","0","0"
"20230115","1315","ST-1546","ST-1546","1","0","0"
"20230115","1315","ST-2124","ST-2124","1","0","0"
"20230115","1315","ST-2168","ST-2168","1","0","0"
"20230115","1315","ST-2479","ST-2479","1","0","0"
"20230115","1315","ST-705","ST-705","1","0","0"
"20230115","1315","ST-942","ST-942","1","0","0"
"20230115","1325","ST-2299","ST-2299","1","0","0"
"20230115","1325","ST-668","ST-668","1","0","0"
"20230115","1330","ST-1466","ST-1466","1","0","0"
"20230115","1330","ST-1476","ST-1476","1","0","0"
"20230115","1330","ST-1626","ST-1626","1","0","0"
"20230115","1330","ST-232","ST-232","1","0","0"
"20230115","1330","ST-2409","ST-2409","1","0","0"
"20230115","1330","ST-2724","ST-2724","1","0","0"
"20230115","1330","ST-344","ST-344","1","0","0"
"20230115","1330","ST-735","ST-735","1","0","0"
"20230115","1330","ST-76","ST-76","1","0","0"
"20230115","1335","ST-1017","ST-1017","1","1","0"
"20230115","1335","ST-110","ST-110","1","0","0"
"20230115","1335","ST-1523","ST-1523","1","0","0"
"20230115","1335","ST-2213","ST-2213","1","0","0"
"20230115","1335","ST-2622","ST-2622","1","0","0"
"20230115","1340","ST-1013","ST-1013","1","1","88"
"20230115","1340","ST-1276","ST-1276","2","0","0"
"20230115","1340","ST-1283","ST-1283","1","0","0"
"20230115","1340","ST-1402","ST-1402","1","0","0"
"20230115","1340","ST-1689","ST-1689","1","0","0"
"20230115","1340","ST-2088","ST-2088","2","0","0"
"20230115","1340","ST-222","ST-222","1","0","0"
"20230115","1340","ST-2357","ST-2357","2","0","0"
"20230115","1340","ST-2749","ST-2749","1","0","0"
"20230115","1345","ST-183","ST-183","1","0","0"
"20230115","1345","ST-2067","ST-2067","1","1","0"
"20230115","1345","ST-2097","ST-2097","1","0","0"
"20230115","1345","ST-2207","ST-2207","1","0","0"
"20230115","1345","ST-2533","ST-2533","1","0","0"
"20230115","1345","ST-2701","ST-2701","1","0","0"
"20230115","1345","ST-446","ST-446","1","0","0"
"20230115","1345","ST-517","ST-517","1","0","0"
"20230115","1350","ST-422","ST-422","1","0","0"
"20230115","1350","ST-664","ST-664","1","0","0"
"20230115","1350","ST-81","ST-81","1","0","0"
"20230115","1350","ST-822","ST-822","1","0","0"
"20230115","1350","ST-891","ST-891","1","0","0"
"20230115","1355","ST-1186","ST-1186","1","0","0"
"20230115","1355","ST-2479","ST-2479","1","0","0"
"20230115","1355","ST-2572","ST-2572","1","0","0"
"20230115","1355","ST-2611","ST-2611","1","0","0"
"20230115","1355","ST-2760","ST-2760","1","1","30"
