"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230122","0000","ST-1694","ST-1694","1","0","0"
"20230122","0005","ST-1062","ST-1062","1","0","0"
"20230122","0005","ST-2959","ST-2959","1","0","0"
"20230122","0010","ST-1062","ST-1062","1","0","0"
"20230122","0010","ST-1263","ST-1263","1","1","0"
"20230122","0010","ST-2929","ST-2929","1","0","0"
"20230122","0010","ST-493","ST-493","1","0","0"
"20230122","0010","ST-664","ST-664","1","0","0"
"20230122","0010","ST-87","ST-87","3","0","0"
"20230122","0015","ST-15","ST-15","2","0","0"
"20230122","0015","ST-494","ST-494","1","0","0"
"20230122","0015","ST-495","ST-495","1","0","0"
"20230122","0015","ST-936","ST-936","1","0","0"
"20230122","0015","ST-997","ST-997","1","0","0"
"20230122","0020","ST-1194","ST-1194","1","0","0"
"20230122","0020","ST-1474","ST-1474","1","0","0"
"20230122","0020","ST-3013","ST-3013","1","0","0"
"20230122","0020","ST-494","ST-494","1","0","0"
"20230122","0025","ST-3097","ST-3097","1","1","0"
"20230122","0025","ST-341","ST-341","1","1","90"
"20230122","0025","ST-494","ST-494","1","0","0"
"20230122","0030","ST-1873","ST-1873","1","0","0"
"20230122","0030","ST-2653","ST-2653","1","1","0"
"20230122","0030","ST-2815","ST-2815","1","1","150"
"20230122","0030","ST-3024","ST-3024","1","0","0"
"20230122","0035","ST-2371","ST-2371","1","0","0"
"20230122","0035","ST-3110","ST-3110","1","0","0"
"20230122","0035","ST-856","ST-856","1","1","80"
"20230122","0045","ST-1887","ST-1887","1","1","0"
"20230122","0050","ST-1331","ST-1331","1","0","0"
"20230122","0050","ST-2903","ST-2903","1","1","0"
"20230122","0055","ST-1190","ST-1190","1","0","0"
"20230122","0055","ST-905","ST-905","1","0","0"
"20230122","0100","ST-2379","ST-2379","1","1","0"
"20230122","0100","ST-728","ST-728","1","0","0"
"20230122","0100","ST-907","ST-907","1","1","150"
"20230122","0105","ST-102","ST-102","2","0","0"
"20230122","0105","ST-130","ST-130","1","0","0"
"20230122","0105","ST-376","ST-376","1","0","10"
"20230122","0110","ST-1097","ST-1097","1","0","0"
"20230122","0110","ST-1733","ST-1733","1","0","0"
"20230122","0110","ST-30","ST-30","1","0","0"
"20230122","0115","ST-2743","ST-2743","1","0","0"
"20230122","0115","ST-2833","ST-2833","1","0","0"
"20230122","0115","ST-856","ST-856","1","0","60"
"20230122","0120","ST-1528","ST-1528","1","0","0"
"20230122","0120","ST-2147","ST-2147","1","0","0"
"20230122","0125","ST-1586","ST-1586","1","0","0"
"20230122","0130","ST-189","ST-189","1","0","0"
"20230122","0130","ST-600","ST-600","1","0","0"
"20230122","0135","ST-2274","ST-2274","1","0","0"
"20230122","0135","ST-533","ST-533","1","0","0"
"20230122","0140","ST-2168","ST-2168","1","0","0"
"20230122","0140","ST-547","ST-547","1","0","0"
"20230122","0155","ST-1310","ST-1310","1","1","170"
"20230122","0155","ST-1948","ST-1948","1","1","0"
"20230122","0200","ST-2866","ST-2866","1","0","0"
"20230122","0205","ST-1005","ST-1005","1","0","0"
"20230122","0205","ST-475","ST-475","1","0","0"
"20230122","0205","ST-525","ST-525","1","0","0"
"20230122","0230","ST-3042","ST-3042","1","0","0"
"20230122","0245","ST-1046","ST-1046","1","0","0"
"20230122","0250","ST-668","ST-668","1","0","0"
"20230122","0255","ST-2557","ST-2557","1","1","0"
"20230122","0300","ST-2557","ST-2557","1","0","0"
"20230122","0305","ST-1169","ST-1169","1","0","0"
"20230122","0305","ST-2040","ST-2040","1","0","0"
"20230122","0305","ST-3042","ST-3042","1","1","30"
"20230122","0310","ST-2896","ST-2896","1","0","0"
"20230122","0315","ST-1197","ST-1197","1","0","0"
"20230122","0315","ST-2896","ST-2896","1","0","0"
"20230122","0320","ST-1245","ST-1245","1","0","0"
"20230122","0325","ST-12","ST-12","1","1","0"
"20230122","0330","ST-1273","ST-1273","1","0","0"
"20230122","0355","ST-811","ST-811","1","0","0"
"20230122","0400","ST-311","ST-311","1","0","0"
"20230122","0405","ST-420","ST-420","1","1","0"
"20230122","0410","ST-2112","ST-2112","1","0","0"
"20230122","0435","ST-2815","ST-2815","1","0","111"
"20230122","0440","ST-1687","ST-1687","1","0","0"
"20230122","0445","ST-1335","ST-1335","1","0","0"
"20230122","0445","ST-2167","ST-2167","1","0","0"
"20230122","0450","ST-1682","ST-1682","1","0","0"
"20230122","0500","ST-1132","ST-1132","1","0","0"
"20230122","0525","ST-827","ST-827","1","0","0"
"20230122","0535","ST-2359","ST-2359","1","0","0"
"20230122","0540","ST-2013","ST-2013","1","0","0"
"20230122","0545","ST-155","ST-155","1","0","0"
"20230122","0600","ST-2006","ST-2006","1","0","0"
"20230122","0600","ST-53","ST-53","1","1","0"
"20230122","0610","ST-1456","ST-1456","1","0","0"
"20230122","0610","ST-1976","ST-1976","1","0","0"
"20230122","0610","ST-909","ST-909","1","0","0"
"20230122","0620","ST-2917","ST-2917","1","0","0"
"20230122","0635","ST-1197","ST-1197","1","0","0"
"20230122","0645","ST-1733","ST-1733","1","0","0"
"20230122","0645","ST-2320","ST-2320","1","0","0"
"20230122","0655","ST-308","ST-308","1","0","0"
"20230122","0700","ST-1007","ST-1007","1","0","0"
"20230122","0705","ST-2669","ST-2669","1","0","0"
"20230122","0705","ST-33","ST-33","1","0","0"
"20230122","0710","ST-3015","ST-3015","1","0","0"
"20230122","0730","ST-1086","ST-1086","1","0","0"
"20230122","0740","ST-1195","ST-1195","1","0","0"
"20230122","0740","ST-2236","ST-2236","1","0","0"
"20230122","0740","ST-262","ST-262","1","0","0"
"20230122","0740","ST-542","ST-542","1","0","0"
"20230122","0745","ST-1275","ST-1275","1","0","0"
"20230122","0750","ST-1015","ST-1015","1","0","0"
"20230122","0750","ST-253","ST-253","1","0","0"
"20230122","0755","ST-903","ST-903","1","0","0"
"20230122","0800","ST-1720","ST-1720","1","0","0"
"20230122","0800","ST-1894","ST-1894","1","0","0"
"20230122","0800","ST-651","ST-651","1","0","0"
"20230122","0805","ST-937","ST-937","1","1","0"
"20230122","0810","ST-3137","ST-3137","1","0","0"
"20230122","0815","ST-2814","ST-2814","1","0","0"
"20230122","0820","ST-2002","ST-2002","1","1","0"
"20230122","0820","ST-3023","ST-3023","1","0","0"
"20230122","0825","ST-2915","ST-2915","1","0","0"
"20230122","0825","ST-3023","ST-3023","1","0","0"
"20230122","0825","ST-822","ST-822","2","0","0"
"20230122","0830","ST-3105","ST-3105","1","0","0"
"20230122","0835","ST-118","ST-118","1","0","0"
"20230122","0835","ST-1469","ST-1469","1","0","0"
"20230122","0835","ST-2056","ST-2056","1","0","0"
"20230122","0835","ST-483","ST-483","1","0","0"
"20230122","0840","ST-1854","ST-1854","1","0","0"
"20230122","0840","ST-488","ST-488","1","0","0"
"20230122","0840","ST-637","ST-637","1","0","50"
"20230122","0840","ST-678","ST-678","1","1","0"
"20230122","0845","ST-1390","ST-1390","1","0","0"
"20230122","0855","ST-1650","ST-1650","1","0","0"
"20230122","0855","ST-538","ST-538","2","1","0"
"20230122","0855","ST-600","ST-600","1","1","20"
"20230122","0900","ST-352","ST-352","1","0","0"
"20230122","0900","ST-548","ST-548","1","0","0"
"20230122","0905","ST-1310","ST-1310","1","0","0"
"20230122","0905","ST-1682","ST-1682","1","0","0"
"20230122","0910","ST-2076","ST-2076","1","0","0"
"20230122","0910","ST-2569","ST-2569","1","0","0"
"20230122","0910","ST-2729","ST-2729","1","0","0"
"20230122","0910","ST-2858","ST-2858","1","0","0"
"20230122","0910","ST-2977","ST-2977","1","0","0"
"20230122","0910","ST-938","ST-938","1","0","0"
"20230122","0915","ST-2888","ST-2888","1","0","0"
"20230122","0915","ST-495","ST-495","1","0","0"
"20230122","0915","ST-633","ST-633","1","1","0"
"20230122","0920","ST-109","ST-109","1","0","0"
"20230122","0920","ST-3097","ST-3097","1","1","0"
"20230122","0925","ST-2049","ST-2049","1","0","0"
"20230122","0925","ST-504","ST-504","1","0","0"
"20230122","0930","ST-1586","ST-1586","1","1","0"
"20230122","0930","ST-2914","ST-2914","1","0","111"
"20230122","0940","ST-1321","ST-1321","1","0","0"
"20230122","0940","ST-1968","ST-1968","2","0","0"
"20230122","0940","ST-2952","ST-2952","2","0","0"
"20230122","0940","ST-930","ST-930","1","0","0"
"20230122","0945","ST-1997","ST-1997","1","0","0"
"20230122","0945","ST-997","ST-997","1","0","0"
"20230122","0950","ST-1641","ST-1641","1","0","0"
"20230122","0950","ST-2559","ST-2559","1","1","0"
