"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230125","0000","ST-1166","ST-1166","1","1","0"
"20230125","0000","ST-2168","ST-2168","1","1","88"
"20230125","0000","ST-26","ST-26","1","0","0"
"20230125","0000","ST-948","ST-948","1","0","0"
"20230125","0010","ST-2699","ST-2699","1","1","170"
"20230125","0015","ST-2031","ST-2031","1","0","0"
"20230125","0020","ST-352","ST-352","1","0","0"
"20230125","0025","ST-1017","ST-1017","1","0","0"
"20230125","0025","ST-493","ST-493","1","0","0"
"20230125","0030","ST-1523","ST-1523","1","0","0"
"20230125","0035","ST-2204","ST-2204","1","0","0"
"20230125","0035","ST-2288","ST-2288","1","0","0"
"20230125","0035","ST-3142","ST-3142","1","0","0"
"20230125","0040","ST-1046","ST-1046","1","0","0"
"20230125","0040","ST-664","ST-664","1","0","0"
"20230125","0050","ST-2726","ST-2726","1","0","0"
"20230125","0055","ST-2229","ST-2229","1","0","0"
"20230125","0055","ST-360","ST-360","1","0","20"
"20230125","0110","ST-336","ST-336","1","1","0"
"20230125","0110","ST-675","ST-675","1","0","0"
"20230125","0120","ST-406","ST-406","1","1","0"
"20230125","0120","ST-518","ST-518","1","1","0"
"20230125","0135","ST-247","ST-247","1","0","0"
"20230125","0140","ST-2182","ST-2182","1","1","0"
"20230125","0145","ST-160","ST-160","1","1","40"
"20230125","0145","ST-524","ST-524","2","0","0"
"20230125","0145","ST-996","ST-996","1","1","0"
"20230125","0200","ST-1652","ST-1652","1","0","0"
"20230125","0205","ST-1137","ST-1137","1","0","0"
"20230125","0210","ST-1276","ST-1276","1","0","0"
"20230125","0210","ST-1347","ST-1347","1","0","0"
"20230125","0210","ST-2985","ST-2985","1","0","0"
"20230125","0220","ST-360","ST-360","1","0","0"
"20230125","0230","ST-1941","ST-1941","1","0","10"
"20230125","0235","ST-1118","ST-1118","1","0","0"
"20230125","0240","ST-1286","ST-1286","1","0","0"
"20230125","0245","ST-1286","ST-1286","1","0","0"
"20230125","0245","ST-1287","ST-1287","1","0","0"
"20230125","0245","ST-1990","ST-1990","1","0","0"
"20230125","0245","ST-227","ST-227","1","1","0"
"20230125","0245","ST-714","ST-714","1","1","100"
"20230125","0245","ST-948","ST-948","1","1","0"
"20230125","0310","ST-454","ST-454","1","0","0"
"20230125","0320","ST-558","ST-558","1","0","0"
"20230125","0335","ST-828","ST-828","1","0","0"
"20230125","0345","ST-1425","ST-1425","1","0","0"
"20230125","0350","ST-868","ST-868","1","0","0"
"20230125","0430","ST-3142","ST-3142","1","0","0"
"20230125","0435","ST-1794","ST-1794","1","0","0"
"20230125","0435","ST-222","ST-222","1","0","0"
"20230125","0445","ST-2278","ST-2278","1","0","0"
"20230125","0450","ST-1347","ST-1347","1","1","0"
"20230125","0455","ST-2379","ST-2379","1","0","40"
"20230125","0505","ST-809","ST-809","1","1","0"
"20230125","0510","ST-370","ST-370","1","0","0"
"20230125","0510","ST-536","ST-536","1","0","0"
"20230125","0510","ST-572","ST-572","1","0","0"
"20230125","0515","ST-3060","ST-3060","1","0","0"
"20230125","0515","ST-3130","ST-3130","1","0","0"
"20230125","0525","ST-1697","ST-1697","1","0","0"
"20230125","0530","ST-2762","ST-2762","1","0","0"
"20230125","0535","ST-1560","ST-1560","1","1","0"
"20230125","0535","ST-2820","ST-2820","1","0","0"
"20230125","0540","ST-1560","ST-1560","1","1","0"
"20230125","0545","ST-262","ST-262","1","0","0"
"20230125","0550","ST-1288","ST-1288","1","0","0"
"20230125","0550","ST-2603","ST-2603","1","0","0"
"20230125","0550","ST-2732","ST-2732","1","0","10"
"20230125","0555","ST-156","ST-156","1","0","0"
"20230125","0555","ST-2481","ST-2481","1","0","0"
"20230125","0555","ST-772","ST-772","1","0","0"
"20230125","0555","ST-948","ST-948","1","0","0"
"20230125","0600","ST-2008","ST-2008","1","0","0"
"20230125","0600","ST-2480","ST-2480","1","0","0"
"20230125","0600","ST-815","ST-815","1","0","0"
"20230125","0605","ST-1652","ST-1652","1","0","0"
"20230125","0605","ST-1698","ST-1698","1","0","0"
"20230125","0605","ST-2411","ST-2411","1","0","0"
"20230125","0610","ST-223","ST-223","1","0","0"
"20230125","0610","ST-854","ST-854","1","0","142"
"20230125","0615","ST-1103","ST-1103","1","0","0"
"20230125","0615","ST-1347","ST-1347","1","0","0"
"20230125","0615","ST-3015","ST-3015","1","0","0"
"20230125","0615","ST-518","ST-518","1","0","0"
"20230125","0620","ST-2483","ST-2483","1","0","142"
"20230125","0620","ST-364","ST-364","1","0","0"
"20230125","0620","ST-524","ST-524","1","0","0"
"20230125","0625","ST-1005","ST-1005","1","0","0"
"20230125","0625","ST-3015","ST-3015","1","0","0"
"20230125","0625","ST-392","ST-392","1","0","0"
"20230125","0625","ST-941","ST-941","1","0","0"
"20230125","0630","ST-1386","ST-1386","1","0","0"
"20230125","0635","ST-1837","ST-1837","1","0","0"
"20230125","0635","ST-257","ST-257","1","1","111"
"20230125","0635","ST-933","ST-933","1","0","0"
"20230125","0650","ST-1269","ST-1269","1","0","0"
"20230125","0650","ST-1571","ST-1571","1","0","0"
"20230125","0650","ST-2007","ST-2007","1","0","0"
"20230125","0650","ST-2027","ST-2027","1","0","0"
"20230125","0650","ST-483","ST-483","1","0","0"
"20230125","0700","ST-1684","ST-1684","1","0","0"
"20230125","0700","ST-2693","ST-2693","1","0","0"
"20230125","0700","ST-2820","ST-2820","1","0","0"
"20230125","0700","ST-2897","ST-2897","1","0","0"
