"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230124","0000","ST-2965","ST-2965","1","1","0"
"20230124","0000","ST-2995","ST-2995","1","0","0"
"20230124","0000","ST-944","ST-944","1","0","0"
"20230124","0005","ST-272","ST-272","1","0","0"
"20230124","0005","ST-513","ST-513","2","0","0"
"20230124","0010","ST-1213","ST-1213","1","0","0"
"20230124","0010","ST-2134","ST-2134","1","0","0"
"20230124","0010","ST-3172","ST-3172","1","0","0"
"20230124","0010","ST-506","ST-506","1","0","0"
"20230124","0015","ST-2007","ST-2007","1","1","0"
"20230124","0015","ST-2871","ST-2871","2","0","0"
"20230124","0015","ST-954","ST-954","1","0","0"
"20230124","0020","ST-1142","ST-1142","1","0","0"
"20230124","0020","ST-1586","ST-1586","1","1","0"
"20230124","0020","ST-2682","ST-2682","1","0","0"
"20230124","0020","ST-2873","ST-2873","1","0","0"
"20230124","0025","ST-1439","ST-1439","1","0","0"
"20230124","0025","ST-186","ST-186","1","0","0"
"20230124","0025","ST-2049","ST-2049","1","0","0"
"20230124","0025","ST-2134","ST-2134","1","0","0"
"20230124","0025","ST-2639","ST-2639","1","0","0"
"20230124","0025","ST-494","ST-494","1","1","0"
"20230124","0025","ST-868","ST-868","1","0","0"
"20230124","0030","ST-1186","ST-1186","1","0","0"
"20230124","0030","ST-1439","ST-1439","2","0","0"
"20230124","0030","ST-2542","ST-2542","1","0","0"
"20230124","0030","ST-316","ST-316","1","1","111"
"20230124","0035","ST-3175","ST-3175","1","0","0"
"20230124","0035","ST-687","ST-687","1","0","0"
"20230124","0040","ST-2029","ST-2029","1","1","10"
"20230124","0045","ST-2028","ST-2028","1","0","0"
"20230124","0045","ST-2204","ST-2204","1","0","0"
"20230124","0050","ST-2605","ST-2605","1","0","0"
"20230124","0055","ST-892","ST-892","1","0","0"
"20230124","0100","ST-1341","ST-1341","1","1","80"
"20230124","0100","ST-258","ST-258","1","0","0"
"20230124","0100","ST-2873","ST-2873","1","1","0"
"20230124","0105","ST-1977","ST-1977","1","1","88"
"20230124","0110","ST-1469","ST-1469","1","1","0"
"20230124","0110","ST-629","ST-629","1","0","0"
"20230124","0110","ST-856","ST-856","2","0","0"
"20230124","0115","ST-1850","ST-1850","1","0","0"
"20230124","0120","ST-1669","ST-1669","1","0","222"
"20230124","0120","ST-2451","ST-2451","1","0","40"
"20230124","0140","ST-1573","ST-1573","1","0","0"
"20230124","0140","ST-3060","ST-3060","1","0","0"
"20230124","0140","ST-546","ST-546","1","0","0"
"20230124","0145","ST-1996","ST-1996","1","0","0"
"20230124","0145","ST-422","ST-422","1","0","0"
"20230124","0200","ST-2309","ST-2309","2","1","0"
"20230124","0210","ST-342","ST-342","1","0","0"
"20230124","0215","ST-1507","ST-1507","1","0","0"
"20230124","0220","ST-802","ST-802","1","0","88"
"20230124","0235","ST-2605","ST-2605","1","0","0"
"20230124","0240","ST-891","ST-891","1","0","88"
"20230124","0245","ST-1620","ST-1620","1","0","0"
"20230124","0245","ST-611","ST-611","1","0","0"
"20230124","0250","ST-227","ST-227","1","1","80"
"20230124","0250","ST-2272","ST-2272","1","0","0"
"20230124","0255","ST-1093","ST-1093","1","0","0"
"20230124","0255","ST-2696","ST-2696","1","0","0"
"20230124","0305","ST-759","ST-759","1","0","0"
"20230124","0315","ST-2099","ST-2099","1","0","0"
"20230124","0320","ST-1279","ST-1279","1","1","150"
