"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230128","0000","ST-156","ST-156","1","0","0"
"20230128","0000","ST-157","ST-157","1","0","0"
"20230128","0000","ST-284","ST-284","1","0","0"
"20230128","0005","ST-1273","ST-1273","2","0","0"
"20230128","0005","ST-1900","ST-1900","1","0","0"
"20230128","0005","ST-391","ST-391","1","0","0"
"20230128","0005","ST-884","ST-884","1","1","0"
"20230128","0010","ST-2027","ST-2027","1","0","0"
"20230128","0010","ST-283","ST-283","1","0","0"
"20230128","0010","ST-611","ST-611","1","1","0"
"20230128","0010","ST-747","ST-747","1","0","0"
"20230128","0015","ST-2606","ST-2606","1","0","0"
"20230128","0015","ST-2903","ST-2903","1","0","0"
"20230128","0020","ST-1273","ST-1273","1","0","0"
"20230128","0020","ST-2018","ST-2018","1","0","0"
"20230128","0020","ST-2295","ST-2295","1","0","0"
"20230128","0020","ST-571","ST-571","1","0","0"
"20230128","0020","ST-612","ST-612","1","1","0"
"20230128","0025","ST-465","ST-465","1","0","0"
"20230128","0025","ST-8","ST-8","1","0","0"
"20230128","0030","ST-2791","ST-2791","1","1","0"
"20230128","0030","ST-725","ST-725","1","0","0"
"20230128","0035","ST-1728","ST-1728","1","0","0"
"20230128","0035","ST-1842","ST-1842","2","0","0"
"20230128","0035","ST-3085","ST-3085","1","0","0"
"20230128","0035","ST-924","ST-924","1","0","88"
"20230128","0040","ST-1352","ST-1352","1","0","0"
"20230128","0040","ST-2654","ST-2654","1","0","0"
"20230128","0045","ST-1894","ST-1894","1","0","0"
"20230128","0045","ST-2177","ST-2177","1","0","0"
"20230128","0045","ST-390","ST-390","1","0","0"
"20230128","0050","ST-185","ST-185","1","0","0"
"20230128","0050","ST-3072","ST-3072","1","0","0"
"20230128","0050","ST-695","ST-695","1","0","0"
"20230128","0055","ST-1121","ST-1121","1","0","0"
"20230128","0055","ST-81","ST-81","1","0","0"
"20230128","0055","ST-971","ST-971","1","0","0"
"20230128","0100","ST-18","ST-18","1","0","0"
"20230128","0100","ST-643","ST-643","1","0","0"
"20230128","0100","ST-831","ST-831","1","0","0"
"20230128","0105","ST-1707","ST-1707","1","0","0"
"20230128","0105","ST-1728","ST-1728","1","0","0"
"20230128","0105","ST-2168","ST-2168","1","0","0"
"20230128","0105","ST-2500","ST-2500","1","0","0"
"20230128","0105","ST-983","ST-983","1","0","0"
"20230128","0110","ST-2120","ST-2120","1","0","0"
"20230128","0110","ST-2177","ST-2177","1","0","0"
"20230128","0110","ST-2729","ST-2729","1","0","0"
"20230128","0110","ST-377","ST-377","1","1","0"
"20230128","0110","ST-387","ST-387","1","0","40"
"20230128","0110","ST-705","ST-705","1","0","0"
"20230128","0110","ST-944","ST-944","1","0","0"
"20230128","0115","ST-2587","ST-2587","1","0","0"
